match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Throw-in,opponent Match Throw-in,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Throw-in,opponent 2nd half Throw-in,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Goal Kicks,opponent Match Goal Kicks,1st half Goal Kicks,opponent 1st half Goal Kicks,2nd half Goal Kicks,opponent 2nd half Goal Kicks
laliga-2017-2018-2017-10-22-Villarreal-Las Palmas,laliga,home,Villarreal,Las Palmas,22.10.2017,4,0,2017-2018,51%,49%,25.0,16.0,9.0,5.0,9.0,8.0,7.0,3.0,10.0,19.0,9.0,6.0,6.0,1.0,0.0,0.0,5.0,5.0,14.0,9.0,1.0,5.0,101.0,84.0,79.0,52.0,50%,50%,13.0,7.0,3.0,2.0,5.0,4.0,5.0,1.0,3.0,11.0,6.0,3.0,3.0,0.0,2.0,3.0,9.0,3.0,1.0,2.0,57.0,46.0,39.0,25.0,52%,48%,12.0,9.0,6.0,3.0,4.0,4.0,2.0,2.0,7.0,8.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,2.0,5.0,6.0,44.0,38.0,40.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-23-Dep. La Coruna-Girona,laliga,home,Dep. La Coruna,Girona,23.10.2017,1,2,2017-2018,61%,39%,15.0,13.0,6.0,6.0,6.0,5.0,3.0,2.0,16.0,13.0,9.0,7.0,5.0,1.0,0.0,0.0,4.0,5.0,9.0,16.0,3.0,8.0,124.0,82.0,83.0,52.0,63%,37%,8.0,4.0,3.0,2.0,4.0,2.0,1.0,0.0,6.0,8.0,3.0,1.0,3.0,0.0,1.0,3.0,6.0,6.0,1.0,1.0,76.0,42.0,38.0,15.0,59%,41%,7.0,9.0,3.0,4.0,2.0,3.0,2.0,2.0,10.0,5.0,6.0,6.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,10.0,48.0,40.0,45.0,37.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-23-Real Sociedad-Espanyol,laliga,home,Real Sociedad,Espanyol,23.10.2017,1,1,2017-2018,62%,38%,19.0,4.0,5.0,1.0,6.0,1.0,8.0,2.0,16.0,13.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,11.0,15.0,5.0,4.0,101.0,86.0,85.0,31.0,59%,41%,5.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,7.0,6.0,3.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,0.0,1.0,50.0,51.0,37.0,9.0,65%,35%,14.0,2.0,4.0,0.0,6.0,0.0,4.0,2.0,9.0,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,8.0,51.0,35.0,48.0,22.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-28-Alaves-Valencia,laliga,home,Alaves,Valencia,28.10.2017,1,2,2017-2018,45%,55%,16.0,7.0,6.0,2.0,5.0,3.0,5.0,2.0,19.0,19.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,19.0,18.0,5.0,1.0,100.0,88.0,57.0,47.0,37%,63%,4.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,6.0,10.0,3.0,4.0,0.0,0.0,0.0,2.0,10.0,6.0,2.0,1.0,44.0,42.0,17.0,29.0,53%,47%,12.0,3.0,4.0,1.0,4.0,0.0,4.0,2.0,13.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,9.0,12.0,56.0,46.0,40.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-28-Ath Bilbao-Barcelona,laliga,home,Ath Bilbao,Barcelona,28.10.2017,0,2,2017-2018,39%,61%,17.0,17.0,5.0,5.0,8.0,5.0,4.0,7.0,17.0,21.0,6.0,4.0,6.0,5.0,0.0,0.0,3.0,5.0,15.0,12.0,1.0,4.0,107.0,103.0,74.0,58.0,36%,64%,6.0,11.0,2.0,3.0,1.0,4.0,3.0,4.0,9.0,9.0,2.0,3.0,3.0,3.0,2.0,2.0,6.0,6.0,1.0,0.0,54.0,60.0,26.0,35.0,42%,58%,11.0,6.0,3.0,2.0,7.0,1.0,1.0,3.0,8.0,12.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,9.0,6.0,53.0,43.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-28-Atl. Madrid-Villarreal,laliga,home,Atl. Madrid,Villarreal,28.10.2017,1,1,2017-2018,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-28-Sevilla-Leganes,laliga,home,Sevilla,Leganes,28.10.2017,2,1,2017-2018,61%,39%,9.0,10.0,5.0,1.0,3.0,5.0,1.0,4.0,18.0,19.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,16.0,19.0,0.0,3.0,68.0,77.0,33.0,41.0,67%,33%,2.0,5.0,2.0,0.0,0.0,3.0,0.0,2.0,10.0,6.0,1.0,4.0,1.0,0.0,0.0,1.0,5.0,10.0,0.0,1.0,27.0,30.0,11.0,19.0,55%,45%,7.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,8.0,13.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,41.0,47.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-29-Eibar-Levante,laliga,home,Eibar,Levante,29.10.2017,2,2,2017-2018,70%,30%,16.0,3.0,6.0,2.0,7.0,1.0,3.0,0.0,21.0,10.0,6.0,2.0,2.0,5.0,0.0,0.0,0.0,4.0,8.0,16.0,1.0,3.0,72.0,43.0,96.0,38.0,73%,27%,9.0,2.0,2.0,2.0,6.0,0.0,1.0,0.0,9.0,5.0,5.0,2.0,1.0,4.0,0.0,2.0,4.0,5.0,0.0,1.0,37.0,18.0,53.0,22.0,67%,33%,7.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,12.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,11.0,35.0,25.0,43.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-29-Getafe-Real Sociedad,laliga,home,Getafe,Real Sociedad,29.10.2017,2,1,2017-2018,44%,56%,10.0,15.0,5.0,4.0,2.0,6.0,3.0,5.0,17.0,26.0,8.0,7.0,6.0,3.0,0.0,0.0,3.0,3.0,19.0,16.0,3.0,2.0,108.0,103.0,64.0,50.0,41%,59%,2.0,8.0,1.0,2.0,0.0,3.0,1.0,3.0,5.0,13.0,2.0,4.0,3.0,1.0,1.0,1.0,9.0,6.0,0.0,0.0,51.0,50.0,23.0,28.0,47%,53%,8.0,7.0,4.0,2.0,2.0,3.0,2.0,2.0,12.0,13.0,6.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,10.0,10.0,57.0,53.0,41.0,22.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-29-Girona-Real Madrid,laliga,home,Girona,Real Madrid,29.10.2017,2,1,2017-2018,39%,61%,15.0,14.0,4.0,6.0,8.0,5.0,3.0,3.0,15.0,21.0,2.0,7.0,1.0,4.0,0.0,0.0,5.0,2.0,21.0,11.0,2.0,1.0,71.0,79.0,41.0,56.0,40%,60%,6.0,7.0,0.0,3.0,4.0,3.0,2.0,1.0,8.0,11.0,2.0,3.0,0.0,2.0,2.0,0.0,12.0,6.0,0.0,1.0,37.0,36.0,22.0,21.0,38%,62%,9.0,7.0,4.0,3.0,4.0,2.0,1.0,2.0,7.0,10.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,2.0,9.0,5.0,34.0,43.0,19.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-29-Malaga-Celta Vigo,laliga,home,Malaga,Celta Vigo,29.10.2017,2,1,2017-2018,35%,65%,15.0,10.0,4.0,2.0,6.0,4.0,5.0,4.0,15.0,20.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,20.0,12.0,2.0,3.0,80.0,104.0,52.0,59.0,36%,64%,12.0,2.0,3.0,0.0,6.0,1.0,3.0,1.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,1.0,1.0,41.0,49.0,35.0,19.0,34%,66%,3.0,8.0,1.0,2.0,0.0,3.0,2.0,3.0,6.0,13.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,13.0,3.0,39.0,55.0,17.0,40.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-30-Espanyol-Betis,laliga,home,Espanyol,Betis,30.10.2017,1,0,2017-2018,39%,61%,10.0,9.0,4.0,4.0,6.0,1.0,0.0,4.0,17.0,13.0,5.0,3.0,4.0,0.0,0.0,0.0,4.0,3.0,10.0,17.0,2.0,5.0,90.0,94.0,55.0,58.0,43%,57%,5.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,7.0,4.0,4.0,0.0,1.0,0.0,1.0,2.0,3.0,7.0,0.0,1.0,50.0,45.0,30.0,20.0,35%,65%,5.0,7.0,2.0,3.0,3.0,0.0,0.0,4.0,10.0,9.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,7.0,10.0,40.0,49.0,25.0,38.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-10-30-Las Palmas-Dep. La Coruna,laliga,home,Las Palmas,Dep. La Coruna,30.10.2017,1,3,2017-2018,62%,38%,13.0,15.0,5.0,5.0,6.0,7.0,2.0,3.0,15.0,12.0,8.0,5.0,2.0,0.0,0.0,0.0,2.0,4.0,11.0,15.0,1.0,1.0,98.0,100.0,69.0,65.0,58%,42%,6.0,8.0,4.0,2.0,1.0,5.0,1.0,1.0,5.0,7.0,4.0,3.0,0.0,0.0,1.0,3.0,7.0,5.0,1.0,0.0,41.0,51.0,29.0,38.0,66%,34%,7.0,7.0,1.0,3.0,5.0,2.0,1.0,2.0,10.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,10.0,57.0,49.0,40.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-03-Betis-Getafe,laliga,home,Betis,Getafe,03.11.2017,2,2,2017-2018,75%,25%,15.0,9.0,4.0,2.0,9.0,6.0,2.0,1.0,16.0,10.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,10.0,14.0,2.0,6.0,120.0,84.0,85.0,52.0,79%,21%,6.0,5.0,1.0,2.0,5.0,2.0,0.0,1.0,10.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,10.0,1.0,4.0,60.0,35.0,41.0,22.0,71%,29%,9.0,4.0,3.0,0.0,4.0,4.0,2.0,0.0,6.0,5.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,4.0,60.0,49.0,44.0,30.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-04-Alaves-Espanyol,laliga,home,Alaves,Espanyol,04.11.2017,1,0,2017-2018,35%,65%,17.0,9.0,6.0,3.0,8.0,5.0,3.0,1.0,10.0,32.0,3.0,8.0,3.0,1.0,0.0,0.0,3.0,5.0,29.0,9.0,7.0,2.0,94.0,129.0,58.0,86.0,32%,68%,7.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,16.0,1.0,6.0,1.0,1.0,1.0,1.0,15.0,4.0,2.0,2.0,44.0,60.0,22.0,44.0,38%,62%,10.0,5.0,4.0,2.0,5.0,3.0,1.0,0.0,5.0,16.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,14.0,5.0,50.0,69.0,36.0,42.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-04-Barcelona-Sevilla,laliga,home,Barcelona,Sevilla,04.11.2017,2,1,2017-2018,52%,48%,18.0,8.0,6.0,3.0,7.0,3.0,5.0,2.0,17.0,12.0,3.0,3.0,2.0,5.0,0.0,0.0,2.0,4.0,10.0,12.0,1.0,0.0,118.0,101.0,88.0,47.0,58%,42%,12.0,2.0,4.0,1.0,6.0,1.0,2.0,0.0,8.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,7.0,0.0,0.0,63.0,45.0,43.0,19.0,46%,54%,6.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,9.0,5.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,5.0,55.0,56.0,45.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-04-Dep. La Coruna-Atl. Madrid,laliga,home,Dep. La Coruna,Atl. Madrid,04.11.2017,0,1,2017-2018,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-04-Valencia-Leganes,laliga,home,Valencia,Leganes,04.11.2017,3,0,2017-2018,58%,42%,12.0,13.0,6.0,6.0,3.0,3.0,3.0,4.0,13.0,13.0,4.0,7.0,2.0,2.0,0.0,0.0,6.0,3.0,11.0,13.0,1.0,2.0,98.0,106.0,56.0,58.0,56%,44%,5.0,7.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,6.0,2.0,4.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,1.0,53.0,50.0,28.0,32.0,60%,40%,7.0,6.0,4.0,4.0,2.0,0.0,1.0,2.0,9.0,7.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,2.0,5.0,10.0,45.0,56.0,28.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-05-Celta Vigo-Ath Bilbao,laliga,home,Celta Vigo,Ath Bilbao,05.11.2017,3,1,2017-2018,49%,51%,11.0,14.0,5.0,5.0,4.0,7.0,2.0,2.0,17.0,17.0,3.0,6.0,4.0,0.0,0.0,0.0,4.0,2.0,13.0,17.0,2.0,3.0,95.0,119.0,46.0,73.0,54%,46%,5.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,9.0,4.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,8.0,1.0,1.0,40.0,65.0,22.0,36.0,44%,56%,6.0,11.0,1.0,2.0,3.0,7.0,2.0,2.0,8.0,13.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,10.0,9.0,55.0,54.0,24.0,37.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-05-Levante-Girona,laliga,home,Levante,Girona,05.11.2017,1,2,2017-2018,49%,51%,7.0,10.0,4.0,5.0,2.0,5.0,1.0,0.0,18.0,11.0,7.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,10.0,16.0,3.0,4.0,102.0,107.0,55.0,43.0,37%,63%,1.0,6.0,1.0,2.0,0.0,4.0,0.0,0.0,6.0,7.0,3.0,2.0,0.0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,44.0,61.0,17.0,30.0,61%,39%,6.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,12.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,11.0,58.0,46.0,38.0,13.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-05-Real Madrid-Las Palmas,laliga,home,Real Madrid,Las Palmas,05.11.2017,3,0,2017-2018,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-05-Real Sociedad-Eibar,laliga,home,Real Sociedad,Eibar,05.11.2017,3,1,2017-2018,51%,49%,10.0,9.0,6.0,5.0,4.0,2.0,0.0,2.0,22.0,16.0,3.0,6.0,5.0,4.0,0.0,0.0,4.0,3.0,10.0,17.0,0.0,3.0,82.0,115.0,46.0,52.0,51%,49%,6.0,6.0,4.0,3.0,2.0,2.0,0.0,1.0,10.0,4.0,3.0,5.0,1.0,2.0,3.0,2.0,2.0,8.0,0.0,1.0,40.0,56.0,25.0,27.0,51%,49%,4.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,12.0,12.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,8.0,9.0,42.0,59.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-05-Villarreal-Malaga,laliga,home,Villarreal,Malaga,05.11.2017,2,0,2017-2018,55%,45%,14.0,10.0,3.0,2.0,9.0,4.0,2.0,4.0,14.0,27.0,6.0,4.0,9.0,3.0,0.0,0.0,2.0,1.0,18.0,12.0,2.0,4.0,99.0,119.0,71.0,56.0,60%,40%,5.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,11.0,13.0,4.0,1.0,3.0,3.0,0.0,0.0,10.0,9.0,1.0,2.0,53.0,53.0,41.0,18.0,50%,50%,9.0,6.0,3.0,2.0,6.0,2.0,0.0,2.0,3.0,14.0,2.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,8.0,3.0,46.0,66.0,30.0,38.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-17-Girona-Real Sociedad,laliga,home,Girona,Real Sociedad,17.11.2017,1,1,2017-2018,54%,46%,14.0,14.0,4.0,5.0,7.0,3.0,3.0,6.0,16.0,31.0,3.0,6.0,3.0,6.0,0.0,0.0,4.0,3.0,28.0,10.0,4.0,2.0,90.0,88.0,55.0,50.0,49%,51%,4.0,7.0,1.0,2.0,2.0,2.0,1.0,3.0,8.0,17.0,2.0,2.0,2.0,5.0,1.0,1.0,16.0,3.0,3.0,1.0,41.0,48.0,19.0,21.0,59%,41%,10.0,7.0,3.0,3.0,5.0,1.0,2.0,3.0,8.0,14.0,1.0,4.0,1.0,1.0,0.0,0.0,3.0,2.0,12.0,7.0,49.0,40.0,36.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-18-Atl. Madrid-Real Madrid,laliga,home,Atl. Madrid,Real Madrid,18.11.2017,0,0,2017-2018,34%,66%,7.0,14.0,1.0,3.0,3.0,3.0,3.0,8.0,6.0,21.0,7.0,9.0,0.0,0.0,0.0,0.0,3.0,1.0,21.0,6.0,6.0,2.0,77.0,106.0,54.0,79.0,37%,63%,3.0,6.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,8.0,4.0,4.0,0.0,0.0,1.0,0.0,8.0,2.0,1.0,1.0,44.0,47.0,32.0,35.0,31%,69%,4.0,8.0,1.0,2.0,1.0,1.0,2.0,5.0,4.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,4.0,33.0,59.0,22.0,44.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-18-Getafe-Alaves,laliga,home,Getafe,Alaves,18.11.2017,4,1,2017-2018,43%,57%,13.0,11.0,8.0,5.0,2.0,4.0,3.0,2.0,14.0,20.0,4.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,18.0,14.0,3.0,3.0,98.0,96.0,54.0,48.0,44%,56%,7.0,2.0,4.0,2.0,1.0,0.0,2.0,0.0,10.0,12.0,4.0,1.0,1.0,1.0,2.0,2.0,11.0,10.0,2.0,2.0,46.0,42.0,29.0,23.0,42%,58%,6.0,9.0,4.0,3.0,1.0,4.0,1.0,2.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,4.0,52.0,54.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-18-Leganes-Barcelona,laliga,home,Leganes,Barcelona,18.11.2017,0,3,2017-2018,32%,68%,18.0,11.0,7.0,7.0,5.0,2.0,6.0,2.0,15.0,25.0,6.0,3.0,0.0,5.0,0.0,0.0,4.0,7.0,25.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,32%,68%,6.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,7.0,8.0,3.0,2.0,0.0,2.0,0.0,1.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,32%,68%,12.0,8.0,6.0,6.0,2.0,1.0,4.0,1.0,8.0,17.0,3.0,1.0,0.0,3.0,0.0,0.0,4.0,6.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-18-Sevilla-Celta Vigo,laliga,home,Sevilla,Celta Vigo,18.11.2017,2,1,2017-2018,52%,48%,12.0,11.0,5.0,5.0,4.0,5.0,3.0,1.0,16.0,22.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,3.0,20.0,17.0,3.0,2.0,81.0,72.0,43.0,29.0,56%,44%,8.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,9.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0,9.0,9.0,1.0,0.0,42.0,32.0,21.0,10.0,48%,52%,4.0,9.0,2.0,4.0,2.0,4.0,0.0,1.0,7.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,11.0,8.0,39.0,40.0,22.0,19.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-11-19-Ath Bilbao-Villarreal,laliga,home,Ath Bilbao,Villarreal,19.11.2017,1,1,2017-2018,47%,53%,15.0,7.0,3.0,4.0,10.0,3.0,2.0,0.0,19.0,11.0,9.0,7.0,2.0,3.0,0.0,0.0,3.0,2.0,10.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,47%,53%,3.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,11.0,6.0,5.0,3.0,1.0,0.0,2.0,0.0,6.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,47%,53%,12.0,3.0,3.0,1.0,7.0,2.0,2.0,0.0,8.0,5.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
