match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2019-2020-2019-10-26-Manchester City-Aston Villa,premier-league,home,Manchester City,Aston Villa,26.10.2019,3,0,2019-2020,63%,37%,25.0,11.0,9.0,5.0,8.0,2.0,8.0,4.0,7.0,11.0,13.0,7.0,1.0,2.0,5.0,6.0,10.0,5.0,3.0,1.0,597.0,341.0,525.0,273.0,13.0,10.0,118.0,75.0,112.0,34.0,66%,34%,11.0,4.0,2.0,1.0,5.0,0.0,4.0,3.0,4.0,5.0,6.0,4.0,0.0,1.0,1.0,2.0,5.0,3.0,302.0,154.0,259.0,111.0,6.0,3.0,59.0,43.0,61.0,16.0,60%,40%,14.0,7.0,7.0,4.0,3.0,2.0,4.0,1.0,3.0,6.0,7.0,3.0,1.0,1.0,4.0,4.0,5.0,2.0,3.0,0.0,295.0,187.0,266.0,162.0,7.0,7.0,59.0,32.0,51.0,18.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-10-26-Watford-Bournemouth,premier-league,home,Watford,Bournemouth,26.10.2019,0,0,2019-2020,40%,60%,7.0,15.0,3.0,5.0,3.0,3.0,1.0,7.0,11.0,19.0,5.0,10.0,5.0,3.0,5.0,3.0,14.0,8.0,5.0,3.0,337.0,501.0,252.0,419.0,20.0,16.0,116.0,82.0,43.0,45.0,41%,59%,3.0,7.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,8.0,1.0,6.0,3.0,1.0,3.0,1.0,5.0,2.0,190.0,264.0,150.0,223.0,7.0,10.0,66.0,40.0,19.0,23.0,39%,61%,4.0,8.0,2.0,2.0,2.0,1.0,0.0,5.0,8.0,11.0,4.0,4.0,2.0,2.0,2.0,2.0,9.0,6.0,4.0,3.0,147.0,237.0,102.0,196.0,13.0,6.0,50.0,42.0,24.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-10-26-West Ham-Sheffield Utd,premier-league,home,West Ham,Sheffield Utd,26.10.2019,1,1,2019-2020,61%,39%,12.0,10.0,4.0,4.0,7.0,3.0,1.0,3.0,13.0,11.0,10.0,4.0,4.0,4.0,3.0,3.0,7.0,10.0,0.0,0.0,545.0,357.0,431.0,251.0,12.0,11.0,130.0,97.0,52.0,39.0,69%,31%,3.0,6.0,1.0,2.0,2.0,2.0,0.0,2.0,7.0,3.0,7.0,2.0,1.0,1.0,2.0,0.0,2.0,6.0,293.0,140.0,236.0,89.0,5.0,5.0,75.0,39.0,27.0,10.0,52%,48%,9.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,6.0,8.0,3.0,2.0,3.0,3.0,1.0,3.0,5.0,4.0,0.0,0.0,252.0,217.0,195.0,162.0,7.0,6.0,55.0,58.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-10-27-Arsenal-Crystal Palace,premier-league,home,Arsenal,Crystal Palace,27.10.2019,2,2,2019-2020,57%,43%,15.0,10.0,6.0,4.0,8.0,2.0,1.0,4.0,11.0,18.0,12.0,5.0,1.0,1.0,2.0,4.0,18.0,9.0,2.0,0.0,446.0,344.0,365.0,263.0,21.0,14.0,104.0,108.0,62.0,54.0,48%,52%,7.0,5.0,3.0,3.0,4.0,1.0,0.0,1.0,4.0,4.0,7.0,2.0,0.0,0.0,2.0,1.0,5.0,3.0,211.0,236.0,172.0,193.0,12.0,8.0,48.0,65.0,32.0,26.0,66%,34%,8.0,5.0,3.0,1.0,4.0,1.0,1.0,3.0,7.0,14.0,5.0,3.0,1.0,1.0,0.0,3.0,13.0,6.0,2.0,0.0,235.0,108.0,193.0,70.0,9.0,6.0,56.0,43.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-10-27-Liverpool-Tottenham,premier-league,home,Liverpool,Tottenham,27.10.2019,2,1,2019-2020,68%,32%,21.0,11.0,13.0,4.0,3.0,5.0,5.0,2.0,14.0,9.0,8.0,3.0,0.0,4.0,3.0,11.0,9.0,11.0,3.0,3.0,631.0,298.0,523.0,195.0,20.0,16.0,159.0,64.0,86.0,22.0,76%,24%,10.0,4.0,5.0,1.0,2.0,1.0,3.0,2.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,346.0,113.0,295.0,65.0,6.0,6.0,89.0,23.0,48.0,5.0,60%,40%,11.0,7.0,8.0,3.0,1.0,4.0,2.0,0.0,6.0,7.0,4.0,3.0,0.0,4.0,3.0,6.0,7.0,3.0,3.0,1.0,285.0,185.0,228.0,130.0,14.0,10.0,70.0,41.0,38.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-10-27-Newcastle-Wolves,premier-league,home,Newcastle,Wolves,27.10.2019,1,1,2019-2020,43%,57%,13.0,13.0,2.0,5.0,7.0,5.0,4.0,3.0,18.0,10.0,3.0,6.0,1.0,1.0,4.0,1.0,8.0,15.0,2.0,2.0,405.0,533.0,315.0,448.0,13.0,18.0,102.0,130.0,47.0,57.0,52%,48%,9.0,3.0,1.0,2.0,5.0,1.0,3.0,0.0,8.0,4.0,2.0,3.0,0.0,1.0,2.0,0.0,3.0,6.0,237.0,223.0,197.0,180.0,6.0,12.0,49.0,60.0,29.0,17.0,34%,66%,4.0,10.0,1.0,3.0,2.0,4.0,1.0,3.0,10.0,6.0,1.0,3.0,1.0,0.0,2.0,1.0,5.0,9.0,2.0,2.0,168.0,310.0,118.0,268.0,7.0,6.0,53.0,70.0,18.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-10-27-Norwich-Manchester Utd,premier-league,home,Norwich,Manchester Utd,27.10.2019,1,3,2019-2020,46%,54%,10.0,21.0,3.0,11.0,5.0,7.0,2.0,3.0,10.0,12.0,1.0,10.0,1.0,0.0,8.0,2.0,13.0,10.0,2.0,2.0,412.0,480.0,325.0,406.0,23.0,24.0,94.0,130.0,29.0,70.0,43%,57%,4.0,12.0,1.0,8.0,3.0,2.0,0.0,2.0,4.0,5.0,1.0,6.0,0.0,0.0,6.0,1.0,7.0,4.0,197.0,248.0,150.0,216.0,19.0,7.0,33.0,65.0,9.0,40.0,49%,51%,6.0,9.0,2.0,3.0,2.0,5.0,2.0,1.0,6.0,7.0,0.0,4.0,1.0,0.0,2.0,1.0,6.0,6.0,1.0,1.0,215.0,232.0,175.0,190.0,4.0,17.0,61.0,65.0,20.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-02-Arsenal-Wolves,premier-league,home,Arsenal,Wolves,02.11.2019,1,1,2019-2020,58%,42%,10.0,25.0,4.0,8.0,5.0,4.0,1.0,13.0,17.0,8.0,8.0,9.0,2.0,2.0,7.0,3.0,6.0,15.0,0.0,2.0,539.0,398.0,465.0,312.0,16.0,22.0,97.0,88.0,73.0,71.0,58%,42%,7.0,14.0,4.0,3.0,2.0,4.0,1.0,7.0,7.0,6.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,6.0,301.0,207.0,262.0,172.0,7.0,5.0,36.0,48.0,34.0,41.0,58%,42%,3.0,11.0,0.0,5.0,3.0,0.0,0.0,6.0,10.0,2.0,6.0,6.0,0.0,1.0,4.0,0.0,2.0,9.0,0.0,2.0,238.0,191.0,203.0,140.0,9.0,17.0,61.0,40.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-02-Aston Villa-Liverpool,premier-league,home,Aston Villa,Liverpool,02.11.2019,1,2,2019-2020,26%,74%,5.0,25.0,2.0,6.0,2.0,10.0,1.0,9.0,10.0,15.0,2.0,10.0,2.0,2.0,4.0,1.0,12.0,9.0,1.0,2.0,226.0,634.0,133.0,530.0,20.0,17.0,69.0,146.0,37.0,79.0,24%,76%,4.0,5.0,2.0,1.0,2.0,3.0,0.0,1.0,8.0,6.0,1.0,4.0,1.0,2.0,1.0,1.0,4.0,7.0,107.0,336.0,65.0,281.0,7.0,8.0,26.0,65.0,15.0,36.0,28%,72%,1.0,20.0,0.0,5.0,0.0,7.0,1.0,8.0,2.0,9.0,1.0,6.0,1.0,0.0,3.0,0.0,8.0,2.0,1.0,1.0,119.0,298.0,68.0,249.0,13.0,9.0,43.0,81.0,22.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-02-Bournemouth-Manchester Utd,premier-league,home,Bournemouth,Manchester Utd,02.11.2019,1,0,2019-2020,42%,58%,12.0,15.0,6.0,4.0,3.0,6.0,3.0,5.0,16.0,16.0,4.0,10.0,2.0,4.0,4.0,5.0,14.0,12.0,4.0,3.0,366.0,488.0,259.0,378.0,13.0,18.0,100.0,112.0,48.0,54.0,48%,52%,6.0,6.0,2.0,1.0,1.0,3.0,3.0,2.0,8.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,215.0,232.0,156.0,182.0,9.0,5.0,50.0,51.0,27.0,19.0,35%,65%,6.0,9.0,4.0,3.0,2.0,3.0,0.0,3.0,8.0,12.0,2.0,7.0,1.0,3.0,3.0,4.0,12.0,5.0,3.0,2.0,151.0,256.0,103.0,196.0,4.0,13.0,50.0,61.0,21.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-02-Brighton-Norwich,premier-league,home,Brighton,Norwich,02.11.2019,2,0,2019-2020,58%,42%,21.0,7.0,5.0,0.0,12.0,4.0,4.0,3.0,9.0,14.0,8.0,3.0,3.0,1.0,0.0,3.0,11.0,8.0,0.0,1.0,538.0,391.0,451.0,309.0,19.0,13.0,119.0,92.0,80.0,33.0,63%,37%,10.0,4.0,2.0,0.0,5.0,2.0,3.0,2.0,3.0,4.0,6.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,317.0,189.0,278.0,151.0,10.0,5.0,65.0,42.0,41.0,16.0,53%,47%,11.0,3.0,3.0,0.0,7.0,2.0,1.0,1.0,6.0,10.0,2.0,2.0,3.0,0.0,0.0,1.0,7.0,6.0,0.0,1.0,221.0,202.0,173.0,158.0,9.0,8.0,54.0,50.0,39.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-02-Manchester City-Southampton,premier-league,home,Manchester City,Southampton,02.11.2019,2,1,2019-2020,76%,24%,26.0,3.0,4.0,3.0,9.0,0.0,13.0,0.0,10.0,14.0,17.0,0.0,3.0,0.0,2.0,2.0,11.0,10.0,3.0,1.0,639.0,225.0,565.0,139.0,9.0,20.0,155.0,62.0,169.0,17.0,72%,28%,14.0,3.0,0.0,3.0,5.0,0.0,9.0,0.0,4.0,4.0,7.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,327.0,135.0,287.0,92.0,5.0,7.0,63.0,36.0,83.0,12.0,80%,20%,12.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,6.0,10.0,10.0,0.0,1.0,0.0,0.0,2.0,9.0,6.0,2.0,0.0,312.0,90.0,278.0,47.0,4.0,13.0,92.0,26.0,86.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-02-Sheffield Utd-Burnley,premier-league,home,Sheffield Utd,Burnley,02.11.2019,3,0,2019-2020,46%,54%,13.0,6.0,6.0,0.0,5.0,5.0,2.0,1.0,12.0,9.0,7.0,6.0,1.0,0.0,0.0,3.0,8.0,12.0,1.0,2.0,379.0,457.0,261.0,340.0,18.0,5.0,100.0,101.0,47.0,53.0,50%,50%,6.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,7.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,222.0,219.0,162.0,160.0,10.0,2.0,49.0,41.0,23.0,20.0,42%,58%,7.0,4.0,3.0,0.0,2.0,3.0,2.0,1.0,5.0,8.0,5.0,3.0,1.0,0.0,0.0,3.0,7.0,5.0,1.0,1.0,157.0,238.0,99.0,180.0,8.0,3.0,51.0,60.0,24.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-02-Watford-Chelsea,premier-league,home,Watford,Chelsea,02.11.2019,1,2,2019-2020,33%,67%,12.0,16.0,3.0,10.0,5.0,2.0,4.0,4.0,4.0,8.0,1.0,6.0,0.0,0.0,8.0,2.0,8.0,5.0,4.0,2.0,373.0,794.0,299.0,704.0,16.0,16.0,102.0,132.0,48.0,43.0,33%,67%,5.0,7.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,4.0,1.0,2.0,1.0,186.0,401.0,150.0,353.0,6.0,11.0,55.0,59.0,23.0,19.0,33%,67%,7.0,9.0,2.0,5.0,3.0,1.0,2.0,3.0,3.0,6.0,0.0,2.0,0.0,0.0,4.0,1.0,6.0,4.0,4.0,2.0,187.0,393.0,149.0,351.0,10.0,5.0,47.0,73.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-02-West Ham-Newcastle,premier-league,home,West Ham,Newcastle,02.11.2019,2,3,2019-2020,69%,31%,16.0,12.0,6.0,9.0,6.0,3.0,4.0,0.0,11.0,11.0,7.0,3.0,1.0,4.0,6.0,4.0,10.0,7.0,2.0,1.0,585.0,262.0,479.0,169.0,12.0,18.0,135.0,78.0,97.0,37.0,68%,32%,5.0,7.0,2.0,6.0,3.0,1.0,0.0,0.0,8.0,5.0,5.0,3.0,0.0,3.0,4.0,2.0,5.0,5.0,271.0,126.0,224.0,81.0,4.0,8.0,53.0,42.0,39.0,15.0,70%,30%,11.0,5.0,4.0,3.0,3.0,2.0,4.0,0.0,3.0,6.0,2.0,0.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,314.0,136.0,255.0,88.0,8.0,10.0,82.0,36.0,58.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-03-Crystal Palace-Leicester,premier-league,home,Crystal Palace,Leicester,03.11.2019,0,2,2019-2020,44%,56%,12.0,14.0,3.0,5.0,5.0,7.0,4.0,2.0,17.0,17.0,5.0,6.0,2.0,1.0,3.0,3.0,15.0,16.0,2.0,2.0,332.0,429.0,257.0,352.0,19.0,23.0,117.0,89.0,41.0,46.0,40%,60%,6.0,8.0,1.0,2.0,3.0,4.0,2.0,2.0,7.0,6.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,6.0,156.0,239.0,119.0,201.0,9.0,13.0,56.0,50.0,22.0,21.0,48%,52%,6.0,6.0,2.0,3.0,2.0,3.0,2.0,0.0,10.0,11.0,3.0,2.0,1.0,0.0,1.0,2.0,10.0,10.0,2.0,2.0,176.0,190.0,138.0,151.0,10.0,10.0,61.0,39.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-03-Everton-Tottenham,premier-league,home,Everton,Tottenham,03.11.2019,1,1,2019-2020,48%,52%,7.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,10.0,10.0,5.0,2.0,1.0,2.0,1.0,2.0,9.0,8.0,1.0,2.0,375.0,435.0,282.0,337.0,26.0,14.0,118.0,94.0,68.0,31.0,38%,62%,4.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,5.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,179.0,290.0,133.0,235.0,11.0,6.0,47.0,60.0,25.0,24.0,58%,42%,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,196.0,145.0,149.0,102.0,15.0,8.0,71.0,34.0,43.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-08-Norwich-Watford,premier-league,home,Norwich,Watford,08.11.2019,0,2,2019-2020,66%,34%,17.0,12.0,5.0,2.0,7.0,6.0,5.0,4.0,13.0,8.0,10.0,4.0,1.0,0.0,0.0,5.0,7.0,13.0,1.0,4.0,597.0,316.0,523.0,232.0,18.0,25.0,135.0,90.0,77.0,43.0,58%,42%,8.0,9.0,3.0,1.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,288.0,206.0,248.0,160.0,7.0,11.0,61.0,64.0,31.0,27.0,74%,26%,9.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,10.0,3.0,6.0,2.0,0.0,0.0,0.0,2.0,3.0,10.0,1.0,4.0,309.0,110.0,275.0,72.0,11.0,14.0,74.0,26.0,46.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-09-Burnley-West Ham,premier-league,home,Burnley,West Ham,09.11.2019,3,0,2019-2020,40%,60%,14.0,7.0,12.0,4.0,1.0,2.0,1.0,1.0,11.0,23.0,11.0,4.0,7.0,1.0,4.0,9.0,17.0,10.0,2.0,1.0,299.0,459.0,208.0,348.0,7.0,16.0,105.0,107.0,46.0,38.0,42%,58%,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,13.0,4.0,2.0,6.0,1.0,0.0,3.0,8.0,4.0,168.0,233.0,117.0,164.0,3.0,5.0,52.0,58.0,22.0,16.0,38%,62%,8.0,7.0,7.0,4.0,1.0,2.0,0.0,1.0,6.0,10.0,7.0,2.0,1.0,0.0,4.0,6.0,9.0,6.0,1.0,1.0,131.0,226.0,91.0,184.0,4.0,11.0,53.0,49.0,24.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-09-Chelsea-Crystal Palace,premier-league,home,Chelsea,Crystal Palace,09.11.2019,2,0,2019-2020,60%,40%,23.0,3.0,5.0,1.0,10.0,1.0,8.0,1.0,17.0,9.0,7.0,0.0,0.0,0.0,1.0,3.0,9.0,17.0,3.0,2.0,572.0,377.0,498.0,290.0,18.0,20.0,147.0,99.0,63.0,37.0,68%,32%,11.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,313.0,151.0,275.0,105.0,6.0,9.0,78.0,39.0,34.0,12.0,52%,48%,12.0,3.0,3.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,1.0,259.0,226.0,223.0,185.0,12.0,11.0,69.0,60.0,29.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-09-Leicester-Arsenal,premier-league,home,Leicester,Arsenal,09.11.2019,2,0,2019-2020,51%,49%,19.0,8.0,7.0,1.0,9.0,4.0,3.0,3.0,13.0,11.0,5.0,4.0,1.0,2.0,1.0,5.0,10.0,10.0,1.0,1.0,486.0,478.0,426.0,401.0,20.0,18.0,132.0,92.0,60.0,43.0,54%,46%,9.0,6.0,2.0,1.0,5.0,2.0,2.0,3.0,7.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,261.0,220.0,230.0,179.0,6.0,10.0,74.0,36.0,26.0,15.0,48%,52%,10.0,2.0,5.0,0.0,4.0,2.0,1.0,0.0,6.0,5.0,3.0,3.0,0.0,1.0,0.0,3.0,5.0,4.0,1.0,1.0,225.0,258.0,196.0,222.0,14.0,8.0,58.0,56.0,34.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-09-Newcastle-Bournemouth,premier-league,home,Newcastle,Bournemouth,09.11.2019,2,1,2019-2020,33%,67%,20.0,16.0,9.0,3.0,4.0,7.0,7.0,6.0,6.0,14.0,5.0,4.0,4.0,1.0,2.0,7.0,10.0,5.0,2.0,0.0,279.0,559.0,194.0,469.0,18.0,14.0,71.0,127.0,43.0,61.0,39%,61%,10.0,9.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,6.0,1.0,1.0,1.0,0.0,2.0,3.0,5.0,3.0,166.0,255.0,128.0,212.0,7.0,8.0,43.0,50.0,31.0,16.0,27%,73%,10.0,7.0,5.0,0.0,1.0,3.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,1.0,0.0,4.0,5.0,2.0,1.0,0.0,113.0,304.0,66.0,257.0,11.0,6.0,28.0,77.0,12.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-09-Southampton-Everton,premier-league,home,Southampton,Everton,09.11.2019,1,2,2019-2020,47%,53%,4.0,24.0,3.0,5.0,1.0,9.0,0.0,10.0,12.0,14.0,5.0,9.0,2.0,0.0,3.0,2.0,12.0,12.0,1.0,1.0,341.0,373.0,242.0,270.0,10.0,24.0,99.0,124.0,30.0,66.0,47%,53%,0.0,12.0,0.0,1.0,0.0,5.0,0.0,6.0,5.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,5.0,212.0,228.0,158.0,175.0,5.0,0.0,51.0,68.0,14.0,33.0,47%,53%,4.0,12.0,3.0,4.0,1.0,4.0,0.0,4.0,7.0,8.0,5.0,5.0,0.0,0.0,3.0,2.0,8.0,7.0,1.0,1.0,129.0,145.0,84.0,95.0,5.0,24.0,48.0,56.0,16.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-09-Tottenham-Sheffield Utd,premier-league,home,Tottenham,Sheffield Utd,09.11.2019,1,1,2019-2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-10-Liverpool-Manchester City,premier-league,home,Liverpool,Manchester City,10.11.2019,3,1,2019-2020,45%,55%,12.0,18.0,5.0,3.0,5.0,7.0,2.0,8.0,10.0,13.0,4.0,13.0,3.0,5.0,2.0,2.0,10.0,5.0,0.0,2.0,416.0,507.0,324.0,425.0,14.0,15.0,81.0,112.0,47.0,81.0,46%,54%,8.0,9.0,4.0,2.0,4.0,5.0,0.0,2.0,5.0,9.0,2.0,5.0,2.0,1.0,2.0,2.0,7.0,4.0,220.0,251.0,182.0,214.0,9.0,5.0,34.0,58.0,19.0,33.0,44%,56%,4.0,9.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,4.0,2.0,8.0,1.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,196.0,256.0,142.0,211.0,5.0,10.0,47.0,54.0,28.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-11-10-Manchester Utd-Brighton,premier-league,home,Manchester Utd,Brighton,10.11.2019,3,1,2019-2020,43%,57%,21.0,6.0,11.0,2.0,5.0,3.0,5.0,1.0,18.0,9.0,5.0,2.0,0.0,4.0,1.0,8.0,10.0,14.0,2.0,5.0,359.0,483.0,287.0,390.0,23.0,29.0,109.0,103.0,51.0,41.0,49%,51%,5.0,4.0,4.0,0.0,0.0,3.0,1.0,1.0,11.0,5.0,3.0,1.0,0.0,1.0,0.0,2.0,5.0,10.0,200.0,208.0,171.0,167.0,12.0,17.0,54.0,51.0,20.0,22.0,37%,63%,16.0,2.0,7.0,2.0,5.0,0.0,4.0,0.0,7.0,4.0,2.0,1.0,0.0,3.0,1.0,6.0,5.0,4.0,1.0,1.0,159.0,275.0,116.0,223.0,11.0,12.0,55.0,52.0,31.0,19.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
