match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2019-2020-2019-08-17-Arsenal-Burnley,premier-league,home,Arsenal,Burnley,17.08.2019,2,1,2019-2020,68%,32%,16.0,18.0,9.0,5.0,4.0,9.0,3.0,4.0,12.0,19.0,10.0,7.0,5.0,1.0,4.0,7.0,13.0,11.0,2.0,1.0,529.0,234.0,446.0,155.0,12.0,18.0,68.0,64.0,37.0,43.0,66%,34%,8.0,11.0,4.0,4.0,2.0,3.0,2.0,4.0,6.0,11.0,5.0,4.0,3.0,1.0,3.0,3.0,7.0,4.0,246.0,112.0,209.0,81.0,7.0,7.0,20.0,23.0,12.0,16.0,70%,30%,8.0,7.0,5.0,1.0,2.0,6.0,1.0,0.0,6.0,8.0,5.0,3.0,2.0,0.0,1.0,4.0,6.0,7.0,1.0,1.0,283.0,122.0,237.0,74.0,5.0,11.0,48.0,41.0,25.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-17-Aston Villa-Bournemouth,premier-league,home,Aston Villa,Bournemouth,17.08.2019,1,2,2019-2020,63%,37%,22.0,12.0,7.0,4.0,9.0,4.0,6.0,4.0,15.0,13.0,10.0,5.0,5.0,2.0,2.0,6.0,10.0,13.0,0.0,2.0,490.0,295.0,401.0,206.0,8.0,16.0,122.0,80.0,61.0,47.0,61%,39%,11.0,7.0,3.0,3.0,3.0,4.0,5.0,0.0,9.0,6.0,7.0,2.0,3.0,0.0,1.0,3.0,5.0,8.0,225.0,149.0,177.0,106.0,2.0,8.0,54.0,43.0,28.0,23.0,65%,35%,11.0,5.0,4.0,1.0,6.0,0.0,1.0,4.0,6.0,7.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,0.0,1.0,265.0,146.0,224.0,100.0,6.0,8.0,68.0,37.0,33.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-17-Brighton-West Ham,premier-league,home,Brighton,West Ham,17.08.2019,1,1,2019-2020,57%,43%,16.0,8.0,4.0,3.0,9.0,4.0,3.0,1.0,13.0,14.0,8.0,6.0,2.0,4.0,2.0,3.0,11.0,10.0,0.0,2.0,497.0,377.0,389.0,276.0,22.0,22.0,123.0,126.0,56.0,31.0,55%,45%,7.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,5.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,6.0,5.0,275.0,228.0,223.0,181.0,13.0,6.0,70.0,63.0,19.0,11.0,59%,41%,9.0,6.0,2.0,3.0,6.0,2.0,1.0,1.0,8.0,7.0,5.0,6.0,1.0,4.0,2.0,1.0,5.0,5.0,0.0,2.0,222.0,149.0,166.0,95.0,9.0,16.0,53.0,63.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-17-Everton-Watford,premier-league,home,Everton,Watford,17.08.2019,1,0,2019-2020,44%,56%,12.0,8.0,2.0,2.0,6.0,4.0,4.0,2.0,11.0,13.0,4.0,7.0,3.0,1.0,2.0,1.0,11.0,11.0,2.0,3.0,303.0,388.0,201.0,276.0,19.0,34.0,93.0,101.0,36.0,75.0,48%,52%,6.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,5.0,3.0,4.0,0.0,1.0,1.0,1.0,5.0,6.0,167.0,183.0,123.0,139.0,9.0,16.0,50.0,45.0,17.0,32.0,39%,61%,6.0,5.0,0.0,1.0,4.0,2.0,2.0,2.0,5.0,8.0,1.0,3.0,3.0,0.0,1.0,0.0,6.0,5.0,1.0,2.0,136.0,205.0,78.0,137.0,10.0,18.0,43.0,56.0,19.0,43.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-17-Manchester City-Tottenham,premier-league,home,Manchester City,Tottenham,17.08.2019,2,2,2019-2020,56%,44%,30.0,3.0,10.0,2.0,8.0,1.0,12.0,0.0,5.0,14.0,13.0,2.0,3.0,1.0,0.0,8.0,14.0,4.0,1.0,0.0,611.0,506.0,550.0,421.0,14.0,16.0,168.0,43.0,104.0,15.0,52%,48%,13.0,1.0,5.0,1.0,3.0,0.0,5.0,0.0,3.0,11.0,4.0,0.0,2.0,1.0,0.0,3.0,9.0,2.0,309.0,297.0,283.0,258.0,11.0,9.0,90.0,21.0,46.0,3.0,60%,40%,17.0,2.0,5.0,1.0,5.0,1.0,7.0,0.0,2.0,3.0,9.0,2.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,302.0,209.0,267.0,163.0,3.0,7.0,78.0,22.0,58.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-17-Norwich-Newcastle,premier-league,home,Norwich,Newcastle,17.08.2019,3,1,2019-2020,63%,37%,15.0,10.0,8.0,3.0,3.0,7.0,4.0,0.0,13.0,11.0,7.0,5.0,2.0,1.0,2.0,5.0,9.0,11.0,1.0,3.0,603.0,336.0,521.0,264.0,13.0,13.0,119.0,93.0,51.0,37.0,68%,32%,7.0,5.0,4.0,2.0,2.0,3.0,1.0,0.0,5.0,7.0,3.0,1.0,2.0,0.0,2.0,3.0,5.0,5.0,343.0,153.0,305.0,110.0,8.0,7.0,68.0,43.0,35.0,14.0,56%,44%,8.0,5.0,4.0,1.0,1.0,4.0,3.0,0.0,8.0,4.0,4.0,4.0,0.0,1.0,0.0,2.0,4.0,6.0,0.0,2.0,260.0,183.0,216.0,154.0,5.0,6.0,51.0,50.0,16.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-17-Southampton-Liverpool,premier-league,home,Southampton,Liverpool,17.08.2019,1,2,2019-2020,37%,63%,14.0,15.0,3.0,6.0,7.0,6.0,4.0,3.0,7.0,14.0,5.0,9.0,4.0,1.0,4.0,2.0,10.0,6.0,2.0,1.0,296.0,530.0,193.0,404.0,14.0,7.0,103.0,113.0,44.0,54.0,38%,62%,6.0,5.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,7.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,148.0,248.0,89.0,190.0,5.0,1.0,67.0,52.0,27.0,16.0,36%,64%,8.0,10.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,7.0,2.0,7.0,1.0,0.0,3.0,1.0,6.0,3.0,1.0,1.0,148.0,282.0,104.0,214.0,9.0,6.0,36.0,61.0,17.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-18-Chelsea-Leicester,premier-league,home,Chelsea,Leicester,18.08.2019,1,1,2019-2020,50%,50%,14.0,12.0,5.0,3.0,7.0,7.0,2.0,2.0,17.0,12.0,4.0,5.0,3.0,3.0,2.0,4.0,9.0,14.0,1.0,0.0,450.0,449.0,354.0,346.0,25.0,29.0,119.0,132.0,47.0,52.0,49%,51%,6.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,7.0,6.0,3.0,2.0,1.0,1.0,0.0,2.0,5.0,6.0,239.0,247.0,190.0,193.0,17.0,15.0,55.0,69.0,23.0,20.0,51%,49%,8.0,11.0,2.0,3.0,5.0,7.0,1.0,1.0,10.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,8.0,0.0,0.0,211.0,202.0,164.0,153.0,8.0,14.0,64.0,63.0,24.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-18-Sheffield Utd-Crystal Palace,premier-league,home,Sheffield Utd,Crystal Palace,18.08.2019,1,0,2019-2020,43%,57%,15.0,6.0,3.0,4.0,6.0,0.0,6.0,2.0,12.0,18.0,8.0,4.0,0.0,1.0,4.0,2.0,16.0,11.0,3.0,1.0,350.0,491.0,272.0,386.0,21.0,24.0,93.0,126.0,80.0,42.0,46%,54%,11.0,2.0,1.0,1.0,4.0,0.0,6.0,1.0,4.0,10.0,3.0,4.0,0.0,1.0,1.0,1.0,8.0,3.0,204.0,250.0,165.0,204.0,12.0,6.0,47.0,57.0,38.0,27.0,40%,60%,4.0,4.0,2.0,3.0,2.0,0.0,0.0,1.0,8.0,8.0,5.0,0.0,0.0,0.0,3.0,1.0,8.0,8.0,2.0,1.0,146.0,241.0,107.0,182.0,9.0,18.0,46.0,69.0,42.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-19-Wolves-Manchester Utd,premier-league,home,Wolves,Manchester Utd,19.08.2019,1,1,2019-2020,35%,65%,6.0,9.0,2.0,2.0,3.0,4.0,1.0,3.0,10.0,16.0,4.0,6.0,1.0,1.0,1.0,1.0,17.0,8.0,2.0,2.0,352.0,652.0,263.0,566.0,16.0,23.0,88.0,153.0,32.0,51.0,31%,69%,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,174.0,387.0,122.0,337.0,9.0,12.0,30.0,102.0,11.0,29.0,40%,60%,5.0,7.0,2.0,1.0,3.0,3.0,0.0,3.0,5.0,10.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,4.0,2.0,1.0,178.0,265.0,141.0,229.0,7.0,11.0,58.0,51.0,21.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
