match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2017-2018-2017-08-19-Bournemouth-Watford,premier-league,home,Bournemouth,Watford,19.08.2017,0,2,2017-2018,56%,44%,6,19,2,7,1,7,3,5,19,8,8,5,1,7,5,2,6,14,1.0,3.0,430,337,13,18,0.0,0.0,0.0,0.0,56%,44%,4,6,1,1,0,3,3,2,12,4,3,1,1,6,1,1,3,7,237,180,6,8,0.0,0.0,0.0,0.0,56%,44%,2,13,1,6,1,4,0,3,7,4,5,4,0,1,4,1,3,7,1.0,2.0,193,157,7,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-19-Burnley-West Brom,premier-league,home,Burnley,West Brom,19.08.2017,0,1,2017-2018,68%,32%,20,8,0,1,15,5,5,2,14,12,5,5,1,3,0,0,11,11,1.0,0.0,471,226,8,10,0.0,0.0,0.0,0.0,69%,31%,7,3,0,0,5,1,2,2,5,4,3,4,0,2,0,0,4,3,4,2,20,10,0.0,0.0,0.0,0.0,67%,33%,13,5,0,1,10,4,3,0,9,8,2,1,1,1,0,0,7,8,1.0,0.0,467,224,-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-19-Leicester-Brighton,premier-league,home,Leicester,Brighton,19.08.2017,2,0,2017-2018,45%,55%,14,5,4,2,4,0,6,3,12,9,6,2,1,2,2,2,8,10,1.0,0.0,427,523,10,9,0.0,0.0,0.0,0.0,49%,51%,9,2,2,0,3,0,4,2,5,5,3,0,1,1,0,1,4,4,245,257,7,2,0.0,0.0,0.0,0.0,41%,59%,5,3,2,2,1,0,2,1,7,4,3,2,0,1,2,1,4,6,1.0,0.0,182,266,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-19-Liverpool-Crystal Palace,premier-league,home,Liverpool,Crystal Palace,19.08.2017,1,0,2017-2018,72%,28%,21,4,11,1,5,2,5,1,17,14,4,2,2,4,1,10,12,13,1.0,3.0,712,275,23,22,0.0,0.0,0.0,0.0,70%,30%,6,3,3,1,2,1,1,1,9,5,1,0,0,2,1,3,5,7,367,157,6,11,0.0,0.0,0.0,0.0,74%,26%,15,1,8,0,3,1,4,0,8,9,3,2,2,2,0,7,7,6,1.0,2.0,345,118,17,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-19-Southampton-West Ham,premier-league,home,Southampton,West Ham,19.08.2017,3,2,2017-2018,67%,33%,14,16,5,8,6,6,3,2,8,20,7,2,1,0,6,2,18,10,1.0,1.0,568,283,10,12,0.0,0.0,0.0,0.0,62%,38%,6,7,3,5,2,2,1,0,5,10,2,1,0,0,4,1,9,6,276,169,8,4,0.0,0.0,0.0,0.0,72%,28%,8,9,2,3,4,4,2,2,3,10,5,1,1,0,2,1,9,4,0.0,1.0,292,114,2,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-19-Stoke-Arsenal,premier-league,home,Stoke,Arsenal,19.08.2017,1,0,2017-2018,22%,78%,10,18,4,6,4,6,2,6,14,8,2,9,4,2,6,3,6,11,0.0,0.0,213,731,19,16,0.0,0.0,0.0,0.0,29%,71%,5,7,2,3,1,2,2,2,7,7,0,4,2,0,3,2,5,7,126,328,12,9,0.0,0.0,0.0,0.0,15%,85%,5,11,2,3,3,4,0,4,7,1,2,5,2,2,3,1,1,4,0.0,0.0,87,403,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-19-Swansea-Manchester Utd,premier-league,home,Swansea,Manchester Utd,19.08.2017,0,4,2017-2018,41%,59%,6,17,1,8,5,6,0,3,11,13,3,5,1,0,4,1,12,11,1.0,1.0,404,601,21,16,0.0,0.0,0.0,0.0,35%,65%,3,9,1,4,2,4,0,1,6,5,1,2,1,0,3,1,4,6,155,301,13,8,0.0,0.0,0.0,0.0,47%,53%,3,8,0,4,3,2,0,2,5,8,2,3,0,0,1,0,8,5,1.0,0.0,249,300,8,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-20-Huddersfield-Newcastle,premier-league,home,Huddersfield,Newcastle,20.08.2017,1,0,2017-2018,53%,47%,7,13,3,5,3,3,1,5,15,17,7,3,4,5,5,2,13,10,3.0,4.0,457,417,23,16,0.0,0.0,0.0,0.0,58%,42%,6,6,2,1,3,1,1,4,6,7,4,1,2,1,1,2,5,5,265,193,12,8,0.0,0.0,0.0,0.0,48%,52%,1,7,1,4,0,2,0,1,9,10,3,2,2,4,4,0,8,5,3.0,3.0,192,224,11,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-20-Tottenham-Chelsea,premier-league,home,Tottenham,Chelsea,20.08.2017,1,2,2017-2018,68%,32%,18,9,6,2,6,4,6,3,20,14,14,3,0,0,0,6,14,21,4.0,3.0,592,280,17,30,0.0,0.0,0.0,0.0,64%,36%,13,4,6,1,4,2,3,1,11,9,7,1,0,0,0,6,9,12,269,153,6,16,0.0,0.0,0.0,0.0,72%,28%,5,5,0,1,2,2,3,2,9,5,7,2,0,0,0,0,5,9,3.0,1.0,323,127,11,14,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-21-Manchester City-Everton,premier-league,home,Manchester City,Everton,21.08.2017,1,1,2017-2018,65%,35%,19,7,6,2,9,5,4,0,12,7,7,1,0,3,1,5,7,9,3.0,4.0,560,302,12,19,120.0,87.0,70.0,42.0,62%,38%,9,5,4,1,5,4,0,0,7,5,3,1,0,3,0,4,5,4,262,156,4,11,66.0,44.0,36.0,18.0,68%,32%,10,2,2,1,4,1,4,0,5,2,4,0,0,0,1,1,2,5,1.0,2.0,298,146,8,8,54.0,43.0,34.0,24.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
