match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
serie-a-2016-2017-2016-08-27-Lazio-Juventus,serie-a,home,Lazio,Juventus,27.08.2016,0,1,2016-2017,53%,47%,6.0,13.0,1.0,5.0,1.0,5.0,4.0,3.0,8.0,16.0,4.0,2.0,0.0,2.0,4.0,1.0,16.0,5.0,1.0,2.0,52%,48%,1.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,5.0,10.0,2.0,0.0,0.0,1.0,2.0,0.0,10.0,4.0,54%,46%,5.0,9.0,1.0,3.0,1.0,5.0,3.0,1.0,3.0,6.0,2.0,2.0,0.0,1.0,2.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-27-Napoli-AC Milan,serie-a,home,Napoli,AC Milan,27.08.2016,4,2,2016-2017,59%,41%,17.0,12.0,8.0,3.0,4.0,6.0,5.0,3.0,21.0,15.0,9.0,4.0,1.0,5.0,1.0,4.0,13.0,15.0,5.0,6.0,57%,43%,10.0,6.0,5.0,1.0,1.0,4.0,4.0,1.0,11.0,7.0,4.0,2.0,1.0,3.0,1.0,3.0,6.0,7.0,61%,39%,7.0,6.0,3.0,2.0,3.0,2.0,1.0,2.0,10.0,8.0,5.0,2.0,0.0,2.0,0.0,1.0,7.0,8.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-28-Cagliari-AS Roma,serie-a,home,Cagliari,AS Roma,28.08.2016,2,2,2016-2017,48%,52%,18.0,21.0,5.0,7.0,7.0,10.0,6.0,4.0,10.0,23.0,4.0,3.0,4.0,1.0,5.0,3.0,21.0,9.0,3.0,1.0,47%,53%,10.0,7.0,1.0,2.0,5.0,5.0,4.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,5.0,49%,51%,8.0,14.0,4.0,5.0,2.0,5.0,2.0,4.0,5.0,15.0,1.0,3.0,4.0,1.0,4.0,2.0,11.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-28-Crotone-Genoa,serie-a,home,Crotone,Genoa,28.08.2016,1,3,2016-2017,44%,56%,11.0,18.0,3.0,8.0,8.0,9.0,0.0,1.0,17.0,16.0,1.0,6.0,2.0,0.0,5.0,2.0,16.0,17.0,2.0,2.0,41%,59%,5.0,7.0,1.0,3.0,4.0,4.0,0.0,0.0,7.0,10.0,0.0,3.0,1.0,0.0,3.0,0.0,9.0,7.0,47%,53%,6.0,11.0,2.0,5.0,4.0,5.0,0.0,1.0,10.0,6.0,1.0,3.0,1.0,0.0,2.0,2.0,7.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-28-Fiorentina-Chievo,serie-a,home,Fiorentina,Chievo,28.08.2016,1,0,2016-2017,59%,41%,13.0,9.0,3.0,2.0,6.0,5.0,4.0,2.0,20.0,8.0,4.0,4.0,0.0,4.0,2.0,2.0,8.0,16.0,0.0,2.0,62%,38%,7.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,13.0,5.0,4.0,1.0,0.0,2.0,0.0,2.0,5.0,11.0,56%,44%,6.0,8.0,0.0,2.0,3.0,4.0,3.0,2.0,7.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-28-Inter-Palermo,serie-a,home,Inter,Palermo,28.08.2016,1,1,2016-2017,69%,31%,22.0,7.0,5.0,3.0,13.0,3.0,4.0,1.0,24.0,18.0,8.0,4.0,2.0,0.0,2.0,4.0,16.0,24.0,1.0,5.0,67%,33%,8.0,2.0,2.0,0.0,5.0,2.0,1.0,0.0,11.0,9.0,5.0,1.0,2.0,0.0,0.0,2.0,7.0,11.0,71%,29%,14.0,5.0,3.0,3.0,8.0,1.0,3.0,1.0,13.0,9.0,3.0,3.0,0.0,0.0,2.0,2.0,9.0,13.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-28-Sampdoria-Atalanta,serie-a,home,Sampdoria,Atalanta,28.08.2016,2,1,2016-2017,57%,43%,8.0,7.0,4.0,1.0,4.0,5.0,0.0,1.0,20.0,17.0,3.0,1.0,4.0,4.0,0.0,2.0,13.0,16.0,1.0,6.0,53%,47%,6.0,4.0,2.0,1.0,4.0,3.0,0.0,0.0,10.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,9.0,61%,39%,2.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,10.0,9.0,3.0,1.0,2.0,3.0,0.0,2.0,7.0,7.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-28-Sassuolo-Pescara,serie-a,home,Sassuolo,Pescara,28.08.2016,0,3,2016-2017,40%,60%,13.0,15.0,3.0,5.0,5.0,7.0,5.0,3.0,23.0,15.0,2.0,7.0,2.0,3.0,5.0,3.0,12.0,21.0,2.0,2.0,38%,62%,6.0,9.0,2.0,2.0,2.0,5.0,2.0,2.0,8.0,4.0,0.0,6.0,0.0,1.0,2.0,2.0,4.0,8.0,42%,58%,7.0,6.0,1.0,3.0,3.0,2.0,3.0,1.0,15.0,11.0,2.0,1.0,2.0,2.0,3.0,1.0,8.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-28-Torino-Bologna,serie-a,home,Torino,Bologna,28.08.2016,5,1,2016-2017,48%,52%,20.0,10.0,11.0,2.0,4.0,6.0,5.0,2.0,14.0,18.0,6.0,3.0,4.0,3.0,1.0,6.0,14.0,12.0,1.0,2.0,56%,44%,9.0,5.0,4.0,1.0,2.0,4.0,3.0,0.0,5.0,8.0,4.0,0.0,3.0,3.0,0.0,2.0,5.0,2.0,40%,60%,11.0,5.0,7.0,1.0,2.0,2.0,2.0,2.0,9.0,10.0,2.0,3.0,1.0,0.0,1.0,4.0,9.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-28-Udinese-Empoli,serie-a,home,Udinese,Empoli,28.08.2016,2,0,2016-2017,38%,62%,11.0,13.0,3.0,4.0,6.0,3.0,2.0,6.0,19.0,18.0,4.0,5.0,3.0,1.0,4.0,1.0,15.0,19.0,3.0,3.0,43%,57%,4.0,11.0,1.0,3.0,2.0,2.0,1.0,6.0,8.0,8.0,2.0,3.0,2.0,1.0,3.0,0.0,6.0,7.0,33%,67%,7.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,11.0,10.0,2.0,2.0,1.0,0.0,1.0,1.0,9.0,12.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
