match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,Match Red Cards,opponent Match Red Cards,Match Yellow Cards,opponent Match Yellow Cards,2nd half Red Cards,opponent 2nd half Red Cards,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Red Cards,opponent 1st half Red Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Tackles,opponent Match Tackles,1st half Tackles,opponent 1st half Tackles,2nd half Tackles,opponent 2nd half Tackles
serie-a-2017-2018-2017-08-26-AS Roma-Inter,serie-a,home,AS Roma,Inter,26.08.2017,1,3,2017-2018,49%,51%,18.0,14.0,3.0,8.0,6.0,4.0,9.0,2.0,14.0,14.0,12.0,6.0,2.0,5.0,5.0,2.0,12.0,8.0,105.0,85.0,91.0,76.0,45%,55%,7.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,6.0,8.0,5.0,2.0,1.0,2.0,2.0,1.0,7.0,3.0,47.0,46.0,38.0,41.0,53%,47%,11.0,9.0,1.0,6.0,4.0,2.0,6.0,1.0,8.0,6.0,7.0,4.0,1.0,3.0,3.0,1.0,5.0,5.0,58.0,39.0,53.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-26-Benevento-Bologna,serie-a,home,Benevento,Bologna,26.08.2017,0,1,2017-2018,49%,51%,15.0,14.0,5.0,4.0,8.0,6.0,2.0,4.0,15.0,13.0,6.0,2.0,4.0,1.0,3.0,5.0,10.0,13.0,122.0,115.0,94.0,54.0,43%,57%,6.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,8.0,5.0,2.0,1.0,2.0,0.0,1.0,2.0,4.0,8.0,55.0,55.0,42.0,29.0,55%,45%,9.0,9.0,3.0,3.0,5.0,4.0,1.0,2.0,7.0,8.0,4.0,1.0,2.0,1.0,2.0,3.0,6.0,5.0,67.0,60.0,52.0,25.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-26-Genoa-Juventus,serie-a,home,Genoa,Juventus,26.08.2017,2,4,2017-2018,42%,58%,9.0,17.0,3.0,7.0,5.0,5.0,1.0,5.0,7.0,14.0,1.0,4.0,2.0,0.0,3.0,1.0,13.0,8.0,140.0,137.0,87.0,74.0,33%,67%,5.0,12.0,2.0,5.0,2.0,3.0,1.0,4.0,2.0,9.0,1.0,2.0,1.0,0.0,3.0,0.0,9.0,3.0,43.0,86.0,23.0,53.0,51%,49%,4.0,5.0,1.0,2.0,3.0,2.0,0.0,1.0,5.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,5.0,97.0,51.0,64.0,21.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-27-AC Milan-Cagliari,serie-a,home,AC Milan,Cagliari,27.08.2017,2,1,2017-2018,49%,51%,15.0,14.0,5.0,4.0,5.0,6.0,5.0,4.0,19.0,23.0,2.0,6.0,2.0,2.0,3.0,3.0,20.0,17.0,133.0,132.0,86.0,80.0,46%,54%,8.0,7.0,4.0,1.0,1.0,4.0,3.0,2.0,7.0,10.0,1.0,2.0,1.0,1.0,1.0,3.0,9.0,6.0,61.0,64.0,39.0,42.0,52%,48%,7.0,7.0,1.0,3.0,4.0,2.0,2.0,2.0,12.0,13.0,1.0,4.0,1.0,1.0,2.0,0.0,11.0,11.0,72.0,68.0,47.0,38.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-27-Chievo-Lazio,serie-a,home,Chievo,Lazio,27.08.2017,1,2,2017-2018,48%,52%,13.0,13.0,5.0,3.0,7.0,8.0,1.0,2.0,11.0,10.0,9.0,6.0,3.0,3.0,1.0,4.0,8.0,8.0,75.0,92.0,67.0,63.0,54%,46%,8.0,3.0,4.0,1.0,3.0,2.0,1.0,0.0,4.0,4.0,6.0,2.0,1.0,2.0,0.0,3.0,3.0,2.0,40.0,49.0,34.0,28.0,42%,58%,5.0,10.0,1.0,2.0,4.0,6.0,0.0,2.0,7.0,6.0,3.0,4.0,2.0,1.0,1.0,1.0,5.0,6.0,35.0,43.0,33.0,35.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-27-Crotone-Verona,serie-a,home,Crotone,Verona,27.08.2017,0,0,2017-2018,33%,67%,13.0,5.0,4.0,0.0,8.0,5.0,1.0,0.0,12.0,18.0,2.0,4.0,3.0,1.0,0.0,4.0,13.0,11.0,79.0,92.0,57.0,68.0,28%,72%,5.0,4.0,2.0,0.0,3.0,3.0,0.0,1.0,6.0,8.0,1.0,2.0,2.0,1.0,0.0,2.0,7.0,5.0,38.0,55.0,28.0,40.0,38%,62%,8.0,1.0,2.0,0.0,5.0,2.0,1.0,-1.0,6.0,10.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,6.0,41.0,37.0,29.0,28.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-27-Fiorentina-Sampdoria,serie-a,home,Fiorentina,Sampdoria,27.08.2017,1,2,2017-2018,56%,44%,25.0,12.0,10.0,5.0,6.0,5.0,9.0,2.0,12.0,23.0,14.0,7.0,5.0,1.0,3.0,9.0,20.0,11.0,119.0,98.0,96.0,74.0,51%,49%,9.0,9.0,3.0,5.0,1.0,3.0,5.0,1.0,4.0,11.0,5.0,4.0,1.0,0.0,3.0,3.0,11.0,4.0,65.0,49.0,40.0,44.0,61%,39%,16.0,3.0,7.0,0.0,5.0,2.0,4.0,1.0,8.0,12.0,9.0,3.0,4.0,1.0,0.0,6.0,9.0,7.0,54.0,49.0,56.0,30.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-27-Napoli-Atalanta,serie-a,home,Napoli,Atalanta,27.08.2017,3,1,2017-2018,59%,41%,10.0,14.0,4.0,2.0,3.0,5.0,3.0,7.0,11.0,18.0,9.0,6.0,4.0,2.0,1.0,2.0,15.0,9.0,66.0,48.0,45.0,31.0,61%,39%,5.0,9.0,2.0,2.0,1.0,1.0,2.0,6.0,4.0,11.0,4.0,5.0,3.0,1.0,1.0,2.0,8.0,3.0,35.0,23.0,23.0,16.0,57%,43%,5.0,5.0,2.0,0.0,2.0,4.0,1.0,1.0,7.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,7.0,6.0,31.0,25.0,22.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-27-Spal-Udinese,serie-a,home,Spal,Udinese,27.08.2017,3,2,2017-2018,46%,54%,10.0,11.0,4.0,3.0,3.0,5.0,3.0,3.0,14.0,9.0,0.0,7.0,0.0,1.0,1.0,1.0,9.0,14.0,72.0,76.0,31.0,49.0,45%,55%,3.0,8.0,1.0,0.0,1.0,5.0,1.0,3.0,4.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,40.0,38.0,16.0,25.0,47%,53%,7.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,10.0,6.0,0.0,3.0,-1.0,1.0,1.0,1.0,6.0,10.0,32.0,38.0,15.0,24.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-27-Torino-Sassuolo,serie-a,home,Torino,Sassuolo,27.08.2017,3,0,2017-2018,51%,49%,14.0,19.0,5.0,2.0,6.0,9.0,3.0,8.0,20.0,13.0,5.0,11.0,0.0,2.0,2.0,2.0,13.0,16.0,113.0,93.0,69.0,72.0,52%,48%,5.0,10.0,2.0,1.0,2.0,5.0,1.0,4.0,12.0,5.0,4.0,8.0,0.0,0.0,1.0,1.0,6.0,10.0,48.0,49.0,37.0,40.0,50%,50%,9.0,9.0,3.0,1.0,4.0,4.0,2.0,4.0,8.0,8.0,1.0,3.0,0.0,2.0,1.0,1.0,7.0,6.0,65.0,44.0,32.0,32.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-09-09-Juventus-Chievo,serie-a,home,Juventus,Chievo,09.09.2017,3,0,2017-2018,59%,41%,15.0,15.0,4.0,2.0,6.0,9.0,5.0,4.0,8.0,19.0,10.0,6.0,5.0,1.0,2.0,1.0,14.0,7.0,109.0,93.0,68.0,60.0,60%,40%,7.0,9.0,1.0,2.0,4.0,5.0,2.0,2.0,4.0,7.0,6.0,2.0,2.0,0.0,2.0,0.0,5.0,4.0,56.0,45.0,35.0,29.0,58%,42%,8.0,6.0,3.0,0.0,2.0,4.0,3.0,2.0,4.0,12.0,4.0,4.0,3.0,1.0,0.0,1.0,9.0,3.0,53.0,48.0,33.0,31.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-09-10-Atalanta-Sassuolo,serie-a,home,Atalanta,Sassuolo,10.09.2017,2,1,2017-2018,49%,51%,9.0,16.0,3.0,3.0,4.0,6.0,2.0,7.0,18.0,15.0,3.0,7.0,1.0,0.0,2.0,1.0,13.0,18.0,69.0,70.0,34.0,36.0,54%,46%,6.0,6.0,1.0,1.0,3.0,3.0,2.0,2.0,9.0,8.0,3.0,3.0,1.0,0.0,0.0,0.0,6.0,9.0,35.0,30.0,22.0,15.0,44%,56%,3.0,10.0,2.0,2.0,1.0,3.0,0.0,5.0,9.0,7.0,0.0,4.0,0.0,0.0,2.0,1.0,7.0,9.0,34.0,40.0,12.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-09-10-Benevento-Torino,serie-a,home,Benevento,Torino,10.09.2017,0,1,2017-2018,35%,65%,15.0,16.0,5.0,6.0,4.0,2.0,6.0,8.0,25.0,15.0,2.0,10.0,1.0,3.0,5.0,5.0,13.0,22.0,102.0,124.0,87.0,117.0,36%,64%,9.0,7.0,2.0,5.0,3.0,1.0,4.0,1.0,11.0,5.0,1.0,3.0,0.0,0.0,5.0,2.0,5.0,9.0,49.0,55.0,46.0,58.0,34%,66%,6.0,9.0,3.0,1.0,1.0,1.0,2.0,7.0,14.0,10.0,1.0,7.0,1.0,3.0,0.0,3.0,8.0,13.0,53.0,69.0,41.0,59.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
