match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Pass Success %,opponent Match Pass Success %,1st half Pass Success %,opponent 1st half Pass Success %,2nd half Pass Success %,opponent 2nd half Pass Success %,1st half Red Cards,opponent 1st half Red Cards,Match Total Passes,opponent Match Total Passes,Match Tackles,opponent Match Tackles,1st half Total Passes,opponent 1st half Total Passes,1st half Tackles,opponent 1st half Tackles,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Tackles,opponent 2nd half Tackles,Extra timeBall Possession,opponent Extra timeBall Possession,Extra timeGoal Attempts,opponent Extra timeGoal Attempts,Extra timeShots on Goal,opponent Extra timeShots on Goal,Extra timeShots off Goal,opponent Extra timeShots off Goal,Extra timeBlocked Shots,opponent Extra timeBlocked Shots,Extra timeFree Kicks,opponent Extra timeFree Kicks,Extra timeCorner Kicks,opponent Extra timeCorner Kicks,Extra timeOffsides,opponent Extra timeOffsides,Extra timeGoalkeeper Saves,opponent Extra timeGoalkeeper Saves,Extra timeFouls,opponent Extra timeFouls,Extra timeYellow Cards,opponent Extra timeYellow Cards,Extra timeTotal Passes,opponent Extra timeTotal Passes,Extra timeTackles,opponent Extra timeTackles,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2016-2017-2016-08-19-Manchester Utd-Southampton,premier-league,home,Manchester Utd,Southampton,19.08.2016,2,0,2016-2017,43%,57%,12.0,13.0,5.0,1.0,6.0,9.0,1.0,3.0,9.0,13.0,4.0,0.0,2.0,2.0,1.0,3.0,11.0,9.0,0.0,0.0,47%,53%,4.0,6.0,3.0,1.0,1.0,3.0,0.0,2.0,6.0,7.0,3.0,0.0,1.0,1.0,1.0,2.0,6.0,5.0,0.0,0.0,39%,61%,8.0,7.0,2.0,0.0,5.0,6.0,1.0,1.0,3.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-20-Burnley-Liverpool,premier-league,home,Burnley,Liverpool,20.08.2016,2,0,2016-2017,20%,80%,3.0,26.0,2.0,5.0,1.0,13.0,0.0,8.0,5.0,16.0,1.0,12.0,3.0,0.0,5.0,0.0,14.0,5.0,0.0,1.0,22%,78%,2.0,13.0,2.0,2.0,0.0,5.0,0.0,6.0,1.0,8.0,0.0,5.0,2.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,18%,82%,1.0,13.0,0.0,3.0,1.0,8.0,0.0,2.0,4.0,8.0,1.0,7.0,1.0,0.0,3.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-20-Leicester-Arsenal,premier-league,home,Leicester,Arsenal,20.08.2016,0,0,2016-2017,40%,60%,8.0,13.0,1.0,4.0,2.0,4.0,5.0,5.0,9.0,12.0,2.0,7.0,1.0,2.0,4.0,1.0,11.0,7.0,1.0,2.0,35%,65%,2.0,9.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,8.0,1.0,4.0,0.0,1.0,1.0,0.0,8.0,4.0,1.0,1.0,45%,55%,6.0,4.0,1.0,3.0,2.0,0.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-20-Stoke-Manchester City,premier-league,home,Stoke,Manchester City,20.08.2016,1,4,2016-2017,43%,57%,8.0,12.0,3.0,6.0,3.0,2.0,2.0,4.0,13.0,14.0,7.0,7.0,3.0,1.0,2.0,2.0,12.0,13.0,3.0,4.0,40%,60%,5.0,7.0,1.0,4.0,3.0,1.0,1.0,2.0,6.0,11.0,3.0,4.0,3.0,1.0,2.0,1.0,9.0,5.0,2.0,0.0,46%,54%,3.0,5.0,2.0,2.0,0.0,1.0,1.0,2.0,7.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-20-Swansea-Hull,premier-league,home,Swansea,Hull,20.08.2016,0,2,2016-2017,57%,43%,23.0,12.0,3.0,4.0,13.0,3.0,7.0,5.0,15.0,7.0,8.0,3.0,0.0,5.0,2.0,3.0,7.0,10.0,0.0,0.0,58%,42%,12.0,4.0,2.0,0.0,8.0,2.0,2.0,2.0,8.0,3.0,3.0,0.0,0.0,4.0,0.0,2.0,3.0,4.0,0.0,0.0,56%,44%,11.0,8.0,1.0,4.0,5.0,1.0,5.0,3.0,7.0,4.0,5.0,3.0,0.0,1.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-20-Tottenham-Crystal Palace,premier-league,home,Tottenham,Crystal Palace,20.08.2016,1,0,2016-2017,57%,43%,20.0,10.0,5.0,2.0,9.0,6.0,6.0,2.0,9.0,21.0,10.0,4.0,2.0,0.0,2.0,4.0,19.0,9.0,3.0,3.0,61%,39%,12.0,3.0,4.0,1.0,5.0,2.0,3.0,0.0,5.0,7.0,8.0,2.0,0.0,0.0,1.0,4.0,7.0,5.0,0.0,1.0,53%,47%,8.0,7.0,1.0,1.0,4.0,4.0,3.0,2.0,4.0,14.0,2.0,2.0,2.0,0.0,1.0,0.0,12.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-20-Watford-Chelsea,premier-league,home,Watford,Chelsea,20.08.2016,1,2,2016-2017,38%,62%,6.0,13.0,2.0,4.0,2.0,6.0,2.0,3.0,12.0,21.0,0.0,5.0,1.0,2.0,2.0,1.0,20.0,10.0,4.0,3.0,40%,60%,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,13.0,0.0,3.0,0.0,1.0,1.0,1.0,13.0,6.0,1.0,1.0,36%,64%,3.0,11.0,1.0,3.0,0.0,5.0,2.0,3.0,5.0,8.0,0.0,2.0,1.0,1.0,1.0,0.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-20-West Brom-Everton,premier-league,home,West Brom,Everton,20.08.2016,1,2,2016-2017,34%,66%,11.0,13.0,4.0,7.0,5.0,5.0,2.0,1.0,11.0,16.0,7.0,4.0,0.0,1.0,5.0,3.0,16.0,10.0,3.0,1.0,31%,69%,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,10.0,3.0,1.0,0.0,1.0,1.0,1.0,10.0,4.0,1.0,0.0,37%,63%,8.0,10.0,2.0,5.0,4.0,4.0,2.0,1.0,6.0,6.0,4.0,3.0,0.0,0.0,4.0,2.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-21-Sunderland-Middlesbrough,premier-league,home,Sunderland,Middlesbrough,21.08.2016,1,2,2016-2017,47%,53%,18.0,8.0,5.0,3.0,6.0,2.0,7.0,3.0,14.0,13.0,8.0,1.0,2.0,0.0,1.0,4.0,11.0,14.0,1.0,1.0,41%,59%,4.0,5.0,0.0,3.0,3.0,1.0,1.0,1.0,6.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,5.0,6.0,0.0,1.0,53%,47%,14.0,3.0,5.0,0.0,3.0,1.0,6.0,2.0,8.0,7.0,5.0,0.0,1.0,0.0,0.0,4.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-21-West Ham-Bournemouth,premier-league,home,West Ham,Bournemouth,21.08.2016,1,0,2016-2017,47%,53%,15.0,9.0,2.0,5.0,8.0,1.0,5.0,3.0,16.0,16.0,1.0,6.0,1.0,1.0,5.0,1.0,15.0,15.0,3.0,3.0,46%,54%,11.0,1.0,1.0,0.0,5.0,0.0,5.0,1.0,9.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,8.0,2.0,2.0,48%,52%,4.0,8.0,1.0,5.0,3.0,1.0,0.0,2.0,7.0,8.0,1.0,4.0,0.0,0.0,5.0,0.0,8.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
