match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,2nd half Yellow Cards,opponent 2nd half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards
bundesliga-2018-2019-2018-09-01-Augsburg-B. Monchengladbach,bundesliga,home,Augsburg,B. Monchengladbach,01.09.2018,1,1,2018-2019,43%,57%,18.0,7.0,6.0,2.0,6.0,1.0,6.0,4.0,12.0,14.0,9.0,4.0,3.0,1.0,1.0,5.0,11.0,11.0,1.0,2.0,313.0,511.0,217.0,402.0,13.0,14.0,110.0,104.0,34.0,25.0,40%,60%,8.0,4.0,3.0,1.0,3.0,0.0,2.0,3.0,5.0,10.0,3.0,3.0,2.0,1.0,1.0,2.0,7.0,4.0,1.0,1.0,170.0,257.0,117.0,196.0,7.0,8.0,59.0,49.0,13.0,8.0,46%,54%,10.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,7.0,4.0,6.0,1.0,1.0,0.0,0.0,3.0,4.0,7.0,143.0,254.0,100.0,206.0,6.0,6.0,51.0,55.0,21.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-01-Bayer Leverkusen-Wolfsburg,bundesliga,home,Bayer Leverkusen,Wolfsburg,01.09.2018,1,3,2018-2019,48%,52%,16.0,12.0,3.0,5.0,8.0,4.0,5.0,3.0,14.0,13.0,5.0,3.0,0.0,1.0,2.0,2.0,13.0,13.0,3.0,3.0,413.0,428.0,325.0,336.0,14.0,20.0,121.0,113.0,65.0,35.0,42%,58%,7.0,8.0,2.0,3.0,3.0,4.0,2.0,1.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,5.0,0.0,1.0,204.0,278.0,152.0,231.0,8.0,9.0,53.0,75.0,24.0,27.0,54%,46%,9.0,4.0,1.0,2.0,5.0,0.0,3.0,2.0,8.0,7.0,3.0,2.0,-1.0,0.0,0.0,1.0,6.0,8.0,209.0,150.0,173.0,105.0,6.0,11.0,68.0,38.0,41.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-01-Eintracht Frankfurt-Werder Bremen,bundesliga,home,Eintracht Frankfurt,Werder Bremen,01.09.2018,1,2,2018-2019,43%,57%,5.0,11.0,1.0,6.0,3.0,3.0,1.0,2.0,14.0,10.0,8.0,3.0,3.0,3.0,4.0,0.0,6.0,11.0,1.0,2.0,356.0,491.0,257.0,394.0,12.0,16.0,118.0,119.0,38.0,37.0,48%,52%,2.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,10.0,5.0,4.0,0.0,1.0,1.0,2.0,0.0,4.0,8.0,1.0,1.0,198.0,223.0,149.0,180.0,9.0,11.0,66.0,54.0,19.0,9.0,38%,62%,3.0,7.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,0.0,2.0,3.0,158.0,268.0,108.0,214.0,3.0,5.0,52.0,65.0,19.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
bundesliga-2018-2019-2018-09-01-Hoffenheim-Freiburg,bundesliga,home,Hoffenheim,Freiburg,01.09.2018,3,1,2018-2019,58%,42%,20.0,9.0,7.0,4.0,8.0,3.0,5.0,2.0,16.0,17.0,6.0,4.0,4.0,2.0,3.0,4.0,13.0,14.0,1.0,2.0,457.0,322.0,371.0,222.0,11.0,22.0,109.0,94.0,43.0,33.0,66%,34%,13.0,7.0,4.0,3.0,5.0,2.0,4.0,2.0,10.0,7.0,5.0,1.0,2.0,1.0,2.0,4.0,4.0,8.0,1.0,1.0,246.0,128.0,204.0,81.0,2.0,12.0,57.0,51.0,24.0,13.0,50%,50%,7.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,6.0,10.0,1.0,3.0,2.0,1.0,1.0,0.0,9.0,6.0,211.0,194.0,167.0,141.0,9.0,10.0,52.0,43.0,19.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-01-Nurnberg-Mainz,bundesliga,home,Nurnberg,Mainz,01.09.2018,1,1,2018-2019,56%,44%,20.0,5.0,5.0,1.0,11.0,4.0,4.0,0.0,13.0,11.0,5.0,1.0,0.0,1.0,0.0,4.0,11.0,12.0,2.0,2.0,560.0,419.0,459.0,327.0,21.0,18.0,135.0,106.0,46.0,31.0,50%,50%,6.0,2.0,0.0,1.0,5.0,1.0,1.0,0.0,8.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,1.0,265.0,256.0,217.0,214.0,8.0,7.0,56.0,69.0,14.0,20.0,62%,38%,14.0,3.0,5.0,0.0,6.0,3.0,3.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,295.0,163.0,242.0,113.0,13.0,11.0,79.0,37.0,32.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-01-Stuttgart-Bayern Munich,bundesliga,home,Stuttgart,Bayern Munich,01.09.2018,0,3,2018-2019,40%,60%,4.0,20.0,0.0,6.0,2.0,9.0,2.0,5.0,7.0,4.0,0.0,12.0,1.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,324.0,664.0,249.0,599.0,23.0,19.0,67.0,136.0,23.0,99.0,30%,70%,1.0,11.0,0.0,2.0,1.0,6.0,0.0,3.0,4.0,1.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,148.0,325.0,111.0,289.0,13.0,13.0,30.0,72.0,15.0,58.0,50%,50%,3.0,9.0,0.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,4.0,1.0,0.0,2.0,0.0,2.0,3.0,176.0,339.0,138.0,310.0,10.0,6.0,37.0,64.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-02-RB Leipzig-Dusseldorf,bundesliga,home,RB Leipzig,Dusseldorf,02.09.2018,1,1,2018-2019,64%,36%,23.0,14.0,7.0,8.0,16.0,3.0,0.0,3.0,18.0,13.0,3.0,3.0,2.0,3.0,7.0,6.0,11.0,15.0,1.0,4.0,577.0,277.0,481.0,162.0,12.0,21.0,169.0,94.0,97.0,29.0,65%,35%,9.0,9.0,3.0,4.0,5.0,3.0,1.0,2.0,11.0,9.0,2.0,1.0,3.0,1.0,4.0,3.0,6.0,10.0,0.0,2.0,276.0,147.0,225.0,96.0,5.0,10.0,79.0,47.0,37.0,23.0,63%,37%,14.0,5.0,4.0,4.0,11.0,0.0,-1.0,1.0,7.0,4.0,1.0,2.0,-1.0,2.0,3.0,3.0,5.0,5.0,301.0,130.0,256.0,66.0,7.0,11.0,90.0,47.0,60.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-02-Schalke-Hertha Berlin,bundesliga,home,Schalke,Hertha Berlin,02.09.2018,0,2,2018-2019,57%,43%,15.0,5.0,4.0,3.0,4.0,2.0,7.0,0.0,17.0,16.0,9.0,0.0,1.0,2.0,1.0,4.0,15.0,15.0,1.0,1.0,450.0,340.0,353.0,239.0,12.0,21.0,123.0,94.0,59.0,19.0,54%,46%,10.0,3.0,2.0,1.0,4.0,2.0,4.0,0.0,1.0,3.0,5.0,0.0,1.0,5.0,0.0,2.0,9.0,7.0,0.0,0.0,204.0,182.0,169.0,137.0,5.0,10.0,46.0,36.0,27.0,7.0,60%,40%,5.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,16.0,13.0,4.0,0.0,0.0,-3.0,1.0,2.0,6.0,8.0,246.0,158.0,184.0,102.0,7.0,11.0,77.0,58.0,32.0,12.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-14-Dortmund-Eintracht Frankfurt,bundesliga,home,Dortmund,Eintracht Frankfurt,14.09.2018,3,1,2018-2019,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-15-B. Monchengladbach-Schalke,bundesliga,home,B. Monchengladbach,Schalke,15.09.2018,2,1,2018-2019,50%,50%,15.0,15.0,4.0,6.0,6.0,5.0,5.0,4.0,17.0,6.0,6.0,6.0,1.0,4.0,5.0,2.0,5.0,12.0,0.0,4.0,444.0,429.0,339.0,323.0,19.0,20.0,82.0,123.0,46.0,46.0,51%,49%,7.0,7.0,3.0,2.0,2.0,2.0,2.0,3.0,7.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,0.0,2.0,237.0,220.0,183.0,165.0,8.0,10.0,47.0,52.0,24.0,16.0,49%,51%,8.0,8.0,1.0,4.0,4.0,3.0,3.0,1.0,10.0,3.0,2.0,4.0,0.0,2.0,3.0,0.0,3.0,7.0,207.0,209.0,156.0,158.0,11.0,10.0,35.0,71.0,22.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-15-Bayern Munich-Bayer Leverkusen,bundesliga,home,Bayern Munich,Bayer Leverkusen,15.09.2018,3,1,2018-2019,76%,24%,18.0,3.0,5.0,1.0,7.0,2.0,6.0,0.0,13.0,8.0,9.0,1.0,3.0,1.0,0.0,2.0,4.0,12.0,0.0,1.0,831.0,259.0,743.0,184.0,8.0,11.0,163.0,32.0,91.0,11.0,76%,24%,8.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,6.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,381.0,114.0,334.0,68.0,3.0,6.0,91.0,19.0,36.0,7.0,76%,24%,10.0,1.0,2.0,0.0,4.0,1.0,4.0,0.0,7.0,5.0,5.0,0.0,2.0,0.0,0.0,1.0,2.0,7.0,450.0,145.0,409.0,116.0,5.0,5.0,72.0,13.0,55.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
bundesliga-2018-2019-2018-09-15-Dusseldorf-Hoffenheim,bundesliga,home,Dusseldorf,Hoffenheim,15.09.2018,2,1,2018-2019,32%,68%,8.0,18.0,4.0,5.0,2.0,9.0,2.0,4.0,20.0,13.0,0.0,9.0,2.0,1.0,4.0,2.0,10.0,19.0,1.0,2.0,247.0,526.0,161.0,443.0,14.0,10.0,80.0,133.0,21.0,74.0,35%,65%,4.0,9.0,2.0,4.0,1.0,4.0,1.0,1.0,11.0,6.0,0.0,5.0,0.0,1.0,4.0,1.0,5.0,9.0,1.0,0.0,157.0,288.0,110.0,246.0,4.0,6.0,52.0,79.0,10.0,40.0,29%,71%,4.0,9.0,2.0,1.0,1.0,5.0,1.0,3.0,9.0,7.0,0.0,4.0,2.0,0.0,0.0,1.0,5.0,10.0,90.0,238.0,51.0,197.0,10.0,4.0,28.0,54.0,11.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-15-Mainz-Augsburg,bundesliga,home,Mainz,Augsburg,15.09.2018,2,1,2018-2019,54%,46%,22.0,13.0,7.0,4.0,12.0,8.0,3.0,1.0,21.0,10.0,5.0,4.0,1.0,4.0,3.0,5.0,9.0,16.0,1.0,2.0,401.0,359.0,312.0,262.0,24.0,22.0,0.0,0.0,0.0,0.0,51%,49%,9.0,3.0,3.0,0.0,5.0,2.0,1.0,1.0,13.0,7.0,2.0,1.0,1.0,4.0,0.0,3.0,6.0,9.0,0.0,0.0,213.0,206.0,160.0,152.0,18.0,8.0,0.0,0.0,0.0,0.0,57%,43%,13.0,10.0,4.0,4.0,7.0,6.0,2.0,0.0,8.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,3.0,7.0,188.0,153.0,152.0,110.0,6.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-15-RB Leipzig-Hannover,bundesliga,home,RB Leipzig,Hannover,15.09.2018,3,2,2018-2019,32%,68%,15.0,16.0,6.0,8.0,4.0,1.0,5.0,7.0,15.0,15.0,4.0,12.0,2.0,2.0,6.0,3.0,12.0,12.0,4.0,4.0,273.0,569.0,189.0,474.0,19.0,11.0,82.0,106.0,31.0,41.0,30%,70%,9.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,8.0,8.0,4.0,5.0,2.0,2.0,1.0,2.0,6.0,5.0,1.0,1.0,117.0,286.0,81.0,237.0,4.0,6.0,41.0,52.0,19.0,13.0,34%,66%,6.0,11.0,2.0,6.0,2.0,0.0,2.0,5.0,7.0,7.0,0.0,7.0,0.0,0.0,5.0,1.0,6.0,7.0,156.0,283.0,108.0,237.0,15.0,5.0,41.0,54.0,12.0,28.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-15-Wolfsburg-Hertha Berlin,bundesliga,home,Wolfsburg,Hertha Berlin,15.09.2018,2,2,2018-2019,61%,39%,15.0,9.0,6.0,5.0,7.0,3.0,2.0,1.0,13.0,14.0,7.0,2.0,2.0,0.0,3.0,4.0,10.0,13.0,1.0,2.0,489.0,310.0,384.0,221.0,16.0,14.0,61.0,53.0,43.0,33.0,60%,40%,6.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,7.0,6.0,1.0,0.0,0.0,1.0,2.0,5.0,6.0,0.0,1.0,235.0,157.0,186.0,120.0,9.0,4.0,28.0,24.0,22.0,13.0,62%,38%,9.0,6.0,4.0,4.0,5.0,2.0,0.0,0.0,7.0,7.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,7.0,254.0,153.0,198.0,101.0,7.0,10.0,33.0,29.0,21.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-16-Freiburg-Stuttgart,bundesliga,home,Freiburg,Stuttgart,16.09.2018,3,3,2018-2019,42%,58%,12.0,11.0,5.0,6.0,4.0,3.0,3.0,2.0,13.0,16.0,5.0,8.0,1.0,0.0,3.0,2.0,13.0,11.0,3.0,4.0,340.0,452.0,264.0,361.0,14.0,19.0,87.0,121.0,31.0,50.0,36%,64%,6.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,6.0,2.0,4.0,1.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,164.0,289.0,122.0,239.0,6.0,14.0,41.0,70.0,15.0,24.0,48%,52%,6.0,7.0,2.0,5.0,2.0,2.0,2.0,0.0,8.0,10.0,3.0,4.0,0.0,0.0,3.0,0.0,10.0,6.0,176.0,163.0,142.0,122.0,8.0,5.0,46.0,51.0,16.0,26.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-16-Werder Bremen-Nurnberg,bundesliga,home,Werder Bremen,Nurnberg,16.09.2018,1,1,2018-2019,56%,44%,14.0,11.0,2.0,2.0,7.0,6.0,5.0,3.0,8.0,17.0,4.0,7.0,0.0,2.0,1.0,1.0,17.0,5.0,2.0,0.0,532.0,401.0,453.0,323.0,10.0,17.0,97.0,78.0,36.0,31.0,61%,39%,8.0,2.0,1.0,0.0,4.0,0.0,3.0,2.0,1.0,10.0,4.0,3.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,319.0,203.0,276.0,163.0,6.0,7.0,73.0,47.0,22.0,14.0,51%,49%,6.0,9.0,1.0,2.0,3.0,6.0,2.0,1.0,7.0,7.0,0.0,4.0,0.0,1.0,1.0,1.0,7.0,5.0,213.0,198.0,177.0,160.0,4.0,10.0,24.0,31.0,14.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-21-Stuttgart-Dusseldorf,bundesliga,home,Stuttgart,Dusseldorf,21.09.2018,0,0,2018-2019,54%,46%,10.0,19.0,1.0,7.0,7.0,5.0,2.0,7.0,22.0,10.0,2.0,9.0,1.0,0.0,7.0,1.0,8.0,19.0,0.0,2.0,469.0,400.0,383.0,298.0,13.0,18.0,121.0,95.0,61.0,45.0,48%,52%,5.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,9.0,6.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,7.0,0.0,0.0,239.0,263.0,188.0,203.0,7.0,8.0,62.0,56.0,24.0,15.0,60%,40%,5.0,14.0,0.0,5.0,4.0,3.0,1.0,6.0,13.0,4.0,2.0,8.0,0.0,0.0,5.0,0.0,3.0,12.0,230.0,137.0,195.0,95.0,6.0,10.0,59.0,39.0,37.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-22-Augsburg-Werder Bremen,bundesliga,home,Augsburg,Werder Bremen,22.09.2018,2,3,2018-2019,50%,50%,21.0,12.0,7.0,7.0,8.0,4.0,6.0,1.0,12.0,15.0,7.0,4.0,5.0,0.0,4.0,5.0,10.0,11.0,2.0,2.0,411.0,423.0,301.0,331.0,17.0,14.0,98.0,89.0,51.0,34.0,49%,51%,11.0,8.0,4.0,4.0,3.0,3.0,4.0,1.0,7.0,11.0,5.0,1.0,3.0,0.0,2.0,3.0,8.0,6.0,2.0,0.0,196.0,207.0,148.0,167.0,8.0,7.0,46.0,44.0,28.0,15.0,51%,49%,10.0,4.0,3.0,3.0,5.0,1.0,2.0,0.0,5.0,4.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,5.0,215.0,216.0,153.0,164.0,9.0,7.0,52.0,45.0,23.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-22-Hertha Berlin-B. Monchengladbach,bundesliga,home,Hertha Berlin,B. Monchengladbach,22.09.2018,4,2,2018-2019,49%,51%,16.0,17.0,7.0,4.0,7.0,7.0,2.0,6.0,14.0,9.0,8.0,7.0,1.0,1.0,2.0,3.0,9.0,13.0,2.0,2.0,471.0,482.0,400.0,397.0,14.0,10.0,104.0,107.0,27.0,34.0,53%,47%,8.0,6.0,4.0,2.0,4.0,1.0,0.0,3.0,4.0,5.0,5.0,2.0,1.0,0.0,1.0,2.0,5.0,4.0,2.0,0.0,260.0,236.0,226.0,191.0,5.0,6.0,54.0,55.0,20.0,8.0,45%,55%,8.0,11.0,3.0,2.0,3.0,6.0,2.0,3.0,10.0,4.0,3.0,5.0,0.0,1.0,1.0,1.0,4.0,9.0,211.0,246.0,174.0,206.0,9.0,4.0,50.0,52.0,7.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-22-Hoffenheim-Dortmund,bundesliga,home,Hoffenheim,Dortmund,22.09.2018,1,1,2018-2019,40%,60%,17.0,8.0,5.0,2.0,8.0,4.0,4.0,2.0,14.0,18.0,4.0,4.0,6.0,3.0,1.0,4.0,12.0,10.0,2.0,1.0,394.0,583.0,331.0,527.0,28.0,19.0,67.0,158.0,35.0,41.0,39%,61%,8.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,6.0,2.0,3.0,2.0,2.0,0.0,1.0,4.0,5.0,0.0,1.0,203.0,311.0,168.0,285.0,15.0,10.0,31.0,82.0,18.0,23.0,41%,59%,9.0,8.0,3.0,2.0,4.0,4.0,2.0,2.0,6.0,12.0,2.0,1.0,4.0,1.0,1.0,3.0,8.0,5.0,191.0,272.0,163.0,242.0,13.0,9.0,36.0,76.0,17.0,18.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
bundesliga-2018-2019-2018-09-22-Nurnberg-Hannover,bundesliga,home,Nurnberg,Hannover,22.09.2018,2,0,2018-2019,55%,45%,14.0,9.0,6.0,3.0,5.0,4.0,3.0,2.0,10.0,17.0,9.0,3.0,2.0,1.0,3.0,4.0,16.0,7.0,3.0,1.0,484.0,393.0,411.0,322.0,13.0,8.0,110.0,68.0,53.0,30.0,53%,47%,8.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,9.0,8.0,5.0,0.0,1.0,2.0,1.0,4.0,6.0,8.0,1.0,1.0,237.0,205.0,200.0,177.0,7.0,4.0,59.0,32.0,25.0,12.0,57%,43%,6.0,6.0,2.0,2.0,4.0,3.0,0.0,1.0,1.0,9.0,4.0,3.0,1.0,-1.0,2.0,0.0,10.0,-1.0,247.0,188.0,211.0,145.0,6.0,4.0,51.0,36.0,28.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bundesliga-2018-2019-2018-09-22-Schalke-Bayern Munich,bundesliga,home,Schalke,Bayern Munich,22.09.2018,0,2,2018-2019,30%,70%,10.0,14.0,2.0,7.0,5.0,7.0,3.0,0.0,13.0,12.0,0.0,8.0,1.0,1.0,5.0,2.0,12.0,11.0,2.0,1.0,299.0,681.0,186.0,563.0,20.0,16.0,112.0,104.0,36.0,34.0,31%,69%,4.0,8.0,1.0,4.0,1.0,4.0,2.0,0.0,7.0,8.0,0.0,5.0,1.0,1.0,3.0,1.0,7.0,6.0,2.0,0.0,155.0,330.0,105.0,288.0,11.0,10.0,54.0,64.0,19.0,17.0,29%,71%,6.0,6.0,1.0,3.0,4.0,3.0,1.0,0.0,6.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,5.0,5.0,144.0,351.0,81.0,275.0,9.0,6.0,58.0,40.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-22-Wolfsburg-Freiburg,bundesliga,home,Wolfsburg,Freiburg,22.09.2018,1,3,2018-2019,73%,27%,19.0,11.0,9.0,8.0,6.0,2.0,4.0,1.0,16.0,14.0,7.0,7.0,3.0,0.0,5.0,8.0,12.0,17.0,0.0,3.0,619.0,235.0,524.0,139.0,22.0,16.0,147.0,65.0,61.0,25.0,74%,26%,12.0,4.0,6.0,3.0,4.0,1.0,2.0,0.0,8.0,6.0,3.0,2.0,1.0,0.0,1.0,6.0,6.0,9.0,0.0,1.0,290.0,97.0,252.0,56.0,9.0,6.0,64.0,26.0,31.0,16.0,72%,28%,7.0,7.0,3.0,5.0,2.0,1.0,2.0,1.0,8.0,8.0,4.0,5.0,2.0,0.0,4.0,2.0,6.0,8.0,329.0,138.0,272.0,83.0,13.0,10.0,83.0,39.0,30.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-23-Bayer Leverkusen-Mainz,bundesliga,home,Bayer Leverkusen,Mainz,23.09.2018,1,0,2018-2019,51%,49%,18.0,12.0,5.0,5.0,7.0,5.0,6.0,2.0,14.0,16.0,7.0,4.0,3.0,1.0,5.0,4.0,12.0,13.0,2.0,2.0,470.0,452.0,385.0,377.0,29.0,16.0,101.0,130.0,78.0,41.0,64%,36%,15.0,2.0,4.0,2.0,6.0,0.0,5.0,0.0,7.0,7.0,7.0,1.0,2.0,1.0,2.0,4.0,5.0,6.0,1.0,0.0,293.0,165.0,249.0,119.0,10.0,9.0,65.0,42.0,53.0,5.0,38%,62%,3.0,10.0,1.0,3.0,1.0,5.0,1.0,2.0,7.0,9.0,0.0,3.0,1.0,0.0,3.0,0.0,7.0,7.0,177.0,287.0,136.0,258.0,19.0,7.0,36.0,88.0,25.0,36.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-09-23-Eintracht Frankfurt-RB Leipzig,bundesliga,home,Eintracht Frankfurt,RB Leipzig,23.09.2018,1,1,2018-2019,46%,54%,8.0,9.0,5.0,2.0,2.0,5.0,1.0,2.0,14.0,19.0,4.0,2.0,5.0,5.0,1.0,4.0,14.0,8.0,1.0,1.0,382.0,447.0,247.0,325.0,23.0,17.0,128.0,92.0,38.0,33.0,54%,46%,5.0,3.0,4.0,1.0,0.0,2.0,1.0,0.0,8.0,7.0,4.0,2.0,2.0,4.0,1.0,3.0,5.0,4.0,0.0,0.0,228.0,191.0,154.0,130.0,11.0,4.0,63.0,48.0,28.0,12.0,38%,62%,3.0,6.0,1.0,1.0,2.0,3.0,0.0,2.0,6.0,12.0,0.0,0.0,3.0,1.0,0.0,1.0,9.0,4.0,154.0,256.0,93.0,195.0,12.0,13.0,65.0,44.0,10.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
