match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in,Match Total Passes,opponent Match Total Passes,1st half Total Passes,opponent 1st half Total Passes,2nd half Total Passes,opponent 2nd half Total Passes
serie-a-2015-2016-2015-09-12-Fiorentina-Genoa,serie-a,home,Fiorentina,Genoa,12.09.2015,1,0,2015-2016,49%,51%,11.0,12.0,3.0,1.0,6.0,5.0,2.0,6.0,24.0,19.0,4.0,2.0,0.0,3.0,1.0,2.0,19.0,21.0,4.0,4.0,53%,47%,7.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,14.0,11.0,2.0,1.0,0.0,3.0,1.0,1.0,11.0,11.0,45%,55%,4.0,9.0,2.0,0.0,2.0,4.0,0.0,5.0,10.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,10.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-12-Frosinone-AS Roma,serie-a,home,Frosinone,AS Roma,12.09.2015,0,2,2015-2016,49%,51%,18.0,20.0,5.0,3.0,12.0,10.0,1.0,7.0,14.0,17.0,3.0,8.0,4.0,0.0,1.0,5.0,16.0,15.0,4.0,3.0,58%,42%,7.0,8.0,1.0,2.0,6.0,3.0,0.0,3.0,7.0,11.0,2.0,6.0,2.0,0.0,1.0,1.0,10.0,7.0,40%,60%,11.0,12.0,4.0,1.0,6.0,7.0,1.0,4.0,7.0,6.0,1.0,2.0,2.0,0.0,0.0,4.0,6.0,8.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-12-Juventus-Chievo,serie-a,home,Juventus,Chievo,12.09.2015,1,1,2015-2016,66%,34%,26.0,6.0,7.0,3.0,14.0,3.0,5.0,0.0,20.0,22.0,5.0,3.0,1.0,1.0,2.0,6.0,21.0,20.0,3.0,5.0,69%,31%,13.0,3.0,2.0,1.0,7.0,2.0,4.0,0.0,10.0,9.0,2.0,3.0,1.0,1.0,0.0,2.0,8.0,9.0,63%,37%,13.0,3.0,5.0,2.0,7.0,1.0,1.0,0.0,10.0,13.0,3.0,0.0,0.0,0.0,2.0,4.0,13.0,11.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-13-Empoli-Napoli,serie-a,home,Empoli,Napoli,13.09.2015,2,2,2015-2016,44%,56%,16.0,17.0,2.0,4.0,8.0,7.0,6.0,6.0,18.0,15.0,5.0,5.0,3.0,4.0,2.0,0.0,12.0,14.0,2.0,4.0,50%,50%,9.0,10.0,2.0,2.0,3.0,5.0,4.0,3.0,8.0,6.0,5.0,4.0,2.0,3.0,1.0,0.0,4.0,5.0,38%,62%,7.0,7.0,0.0,2.0,5.0,2.0,2.0,3.0,10.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,9.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-13-Inter-AC Milan,serie-a,home,Inter,AC Milan,13.09.2015,1,0,2015-2016,49%,51%,16.0,19.0,4.0,3.0,6.0,10.0,6.0,6.0,16.0,23.0,6.0,7.0,4.0,0.0,3.0,3.0,19.0,16.0,2.0,3.0,64%,36%,9.0,8.0,2.0,2.0,3.0,4.0,4.0,2.0,12.0,12.0,4.0,0.0,3.0,0.0,2.0,2.0,9.0,12.0,34%,66%,7.0,11.0,2.0,1.0,3.0,6.0,2.0,4.0,4.0,11.0,2.0,7.0,1.0,0.0,1.0,1.0,10.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-13-Lazio-Udinese,serie-a,home,Lazio,Udinese,13.09.2015,2,0,2015-2016,58%,42%,14.0,11.0,8.0,5.0,4.0,3.0,2.0,3.0,14.0,17.0,6.0,4.0,0.0,1.0,5.0,6.0,17.0,13.0,0.0,1.0,59%,41%,5.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,8.0,9.0,2.0,2.0,0.0,1.0,1.0,1.0,9.0,7.0,57%,43%,9.0,10.0,7.0,4.0,2.0,3.0,0.0,3.0,6.0,8.0,4.0,2.0,0.0,0.0,4.0,5.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-13-Palermo-Carpi,serie-a,home,Palermo,Carpi,13.09.2015,2,2,2015-2016,63%,37%,12.0,9.0,6.0,2.0,4.0,5.0,2.0,2.0,20.0,18.0,3.0,3.0,1.0,5.0,0.0,4.0,16.0,18.0,3.0,3.0,64%,36%,5.0,4.0,3.0,1.0,2.0,2.0,0.0,1.0,14.0,9.0,1.0,2.0,0.0,3.0,0.0,2.0,8.0,12.0,62%,38%,7.0,5.0,3.0,1.0,2.0,3.0,2.0,1.0,6.0,9.0,2.0,1.0,1.0,2.0,0.0,2.0,8.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-13-Sassuolo-Atalanta,serie-a,home,Sassuolo,Atalanta,13.09.2015,2,2,2015-2016,58%,42%,10.0,9.0,9.0,4.0,0.0,3.0,1.0,2.0,18.0,21.0,4.0,2.0,1.0,2.0,2.0,7.0,21.0,19.0,5.0,6.0,54%,46%,6.0,7.0,6.0,3.0,0.0,3.0,0.0,1.0,11.0,11.0,1.0,0.0,1.0,2.0,1.0,4.0,10.0,11.0,62%,38%,4.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,7.0,10.0,3.0,2.0,0.0,0.0,1.0,3.0,11.0,8.0,4.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-13-Verona-Torino,serie-a,home,Verona,Torino,13.09.2015,2,2,2015-2016,48%,52%,12.0,10.0,3.0,5.0,7.0,4.0,2.0,1.0,22.0,19.0,3.0,3.0,2.0,3.0,3.0,1.0,18.0,20.0,5.0,2.0,63%,37%,6.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,12.0,10.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,10.0,33%,67%,6.0,9.0,2.0,4.0,3.0,4.0,1.0,1.0,10.0,9.0,1.0,2.0,0.0,1.0,2.0,0.0,10.0,10.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-14-Sampdoria-Bologna,serie-a,home,Sampdoria,Bologna,14.09.2015,2,0,2015-2016,55%,45%,12.0,9.0,4.0,2.0,5.0,4.0,3.0,3.0,16.0,13.0,2.0,5.0,2.0,0.0,2.0,2.0,11.0,16.0,1.0,5.0,54%,46%,5.0,6.0,1.0,1.0,3.0,2.0,1.0,3.0,9.0,6.0,0.0,3.0,1.0,0.0,1.0,1.0,5.0,9.0,56%,44%,7.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,7.0,7.0,2.0,2.0,1.0,0.0,1.0,1.0,6.0,7.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-19-AC Milan-Palermo,serie-a,home,AC Milan,Palermo,19.09.2015,3,2,2015-2016,56%,44%,18.0,13.0,8.0,3.0,8.0,7.0,2.0,3.0,11.0,15.0,7.0,3.0,6.0,3.0,1.0,5.0,8.0,8.0,1.0,2.0,56%,44%,9.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,5.0,9.0,3.0,2.0,3.0,1.0,0.0,4.0,6.0,4.0,56%,44%,9.0,9.0,2.0,2.0,6.0,6.0,1.0,1.0,6.0,6.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-19-Udinese-Empoli,serie-a,home,Udinese,Empoli,19.09.2015,1,2,2015-2016,42%,58%,7.0,12.0,3.0,6.0,3.0,4.0,1.0,2.0,16.0,32.0,2.0,5.0,6.0,2.0,4.0,2.0,26.0,14.0,6.0,3.0,45%,55%,4.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,9.0,17.0,1.0,1.0,4.0,0.0,0.0,1.0,13.0,9.0,39%,61%,3.0,11.0,1.0,6.0,1.0,4.0,1.0,1.0,7.0,15.0,1.0,4.0,2.0,2.0,4.0,1.0,13.0,5.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-20-AS Roma-Sassuolo,serie-a,home,AS Roma,Sassuolo,20.09.2015,2,2,2015-2016,63%,37%,20.0,13.0,7.0,4.0,9.0,3.0,4.0,6.0,17.0,18.0,11.0,3.0,3.0,3.0,2.0,5.0,14.0,13.0,2.0,3.0,64%,36%,12.0,8.0,3.0,3.0,8.0,2.0,1.0,3.0,7.0,7.0,2.0,3.0,2.0,1.0,1.0,2.0,5.0,6.0,62%,38%,8.0,5.0,4.0,1.0,1.0,1.0,3.0,3.0,10.0,11.0,9.0,0.0,1.0,2.0,1.0,3.0,9.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-20-Atalanta-Verona,serie-a,home,Atalanta,Verona,20.09.2015,1,1,2015-2016,51%,49%,17.0,9.0,4.0,3.0,9.0,2.0,4.0,4.0,18.0,21.0,8.0,2.0,0.0,0.0,2.0,3.0,21.0,19.0,3.0,5.0,52%,48%,6.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,11.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,10.0,50%,50%,11.0,7.0,4.0,3.0,4.0,1.0,3.0,3.0,7.0,13.0,3.0,1.0,0.0,0.0,2.0,3.0,14.0,9.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-20-Bologna-Frosinone,serie-a,home,Bologna,Frosinone,20.09.2015,1,0,2015-2016,41%,59%,13.0,23.0,3.0,9.0,5.0,12.0,5.0,2.0,19.0,20.0,6.0,5.0,1.0,1.0,9.0,2.0,19.0,17.0,4.0,5.0,39%,61%,9.0,7.0,1.0,1.0,4.0,5.0,4.0,1.0,6.0,10.0,1.0,4.0,1.0,0.0,1.0,0.0,7.0,5.0,43%,57%,4.0,16.0,2.0,8.0,1.0,7.0,1.0,1.0,13.0,10.0,5.0,1.0,0.0,1.0,8.0,2.0,12.0,12.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-20-Carpi-Fiorentina,serie-a,home,Carpi,Fiorentina,20.09.2015,0,1,2015-2016,36%,64%,11.0,8.0,3.0,2.0,7.0,5.0,1.0,1.0,19.0,26.0,4.0,3.0,5.0,4.0,1.0,3.0,21.0,15.0,3.0,4.0,33%,67%,4.0,5.0,1.0,2.0,3.0,2.0,0.0,1.0,10.0,14.0,1.0,0.0,1.0,2.0,1.0,1.0,13.0,8.0,39%,61%,7.0,3.0,2.0,0.0,4.0,3.0,1.0,0.0,9.0,12.0,3.0,3.0,4.0,2.0,0.0,2.0,8.0,7.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-20-Chievo-Inter,serie-a,home,Chievo,Inter,20.09.2015,0,1,2015-2016,46%,54%,15.0,14.0,2.0,3.0,9.0,7.0,4.0,4.0,12.0,19.0,8.0,8.0,3.0,0.0,2.0,2.0,16.0,13.0,3.0,1.0,48%,52%,10.0,7.0,2.0,3.0,5.0,3.0,3.0,1.0,6.0,7.0,4.0,3.0,2.0,0.0,2.0,2.0,5.0,6.0,44%,56%,5.0,7.0,0.0,0.0,4.0,4.0,1.0,3.0,6.0,12.0,4.0,5.0,1.0,0.0,0.0,0.0,11.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-20-Genoa-Juventus,serie-a,home,Genoa,Juventus,20.09.2015,0,2,2015-2016,55%,45%,7.0,13.0,0.0,4.0,5.0,8.0,2.0,1.0,24.0,20.0,1.0,2.0,1.0,2.0,2.0,0.0,21.0,23.0,3.0,4.0,51%,49%,3.0,8.0,0.0,2.0,3.0,5.0,0.0,1.0,11.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,10.0,59%,41%,4.0,5.0,0.0,2.0,2.0,3.0,2.0,0.0,13.0,10.0,0.0,2.0,0.0,1.0,1.0,0.0,11.0,13.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-20-Napoli-Lazio,serie-a,home,Napoli,Lazio,20.09.2015,5,0,2015-2016,62%,38%,19.0,9.0,10.0,1.0,6.0,6.0,3.0,2.0,16.0,13.0,7.0,1.0,1.0,4.0,1.0,5.0,12.0,12.0,1.0,2.0,63%,37%,11.0,2.0,5.0,0.0,3.0,2.0,3.0,0.0,6.0,6.0,7.0,0.0,1.0,1.0,0.0,3.0,5.0,5.0,61%,39%,8.0,7.0,5.0,1.0,3.0,4.0,0.0,2.0,10.0,7.0,0.0,1.0,0.0,3.0,1.0,2.0,7.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-20-Torino-Sampdoria,serie-a,home,Torino,Sampdoria,20.09.2015,2,0,2015-2016,50%,50%,19.0,13.0,8.0,5.0,7.0,3.0,4.0,5.0,11.0,9.0,7.0,7.0,0.0,1.0,5.0,6.0,9.0,10.0,2.0,3.0,57%,43%,11.0,1.0,5.0,0.0,4.0,0.0,2.0,1.0,4.0,2.0,5.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,43%,57%,8.0,12.0,3.0,5.0,3.0,3.0,2.0,4.0,7.0,7.0,2.0,4.0,0.0,1.0,5.0,3.0,7.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-22-Udinese-AC Milan,serie-a,home,Udinese,AC Milan,22.09.2015,2,3,2015-2016,45%,55%,11.0,9.0,3.0,3.0,6.0,5.0,2.0,1.0,21.0,24.0,7.0,1.0,0.0,0.0,0.0,1.0,24.0,21.0,6.0,3.0,45%,55%,2.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,9.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,9.0,45%,55%,9.0,4.0,3.0,0.0,5.0,4.0,1.0,0.0,12.0,13.0,7.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,19.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-23-Carpi-Napoli,serie-a,home,Carpi,Napoli,23.09.2015,0,0,2015-2016,30%,70%,11.0,22.0,1.0,4.0,9.0,11.0,1.0,7.0,19.0,15.0,4.0,4.0,3.0,2.0,4.0,1.0,13.0,16.0,3.0,3.0,31%,69%,2.0,5.0,0.0,1.0,2.0,2.0,0.0,2.0,10.0,10.0,1.0,3.0,2.0,0.0,1.0,0.0,8.0,5.0,29%,71%,9.0,17.0,1.0,3.0,7.0,9.0,1.0,5.0,9.0,5.0,3.0,1.0,1.0,2.0,3.0,1.0,5.0,11.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-23-Chievo-Torino,serie-a,home,Chievo,Torino,23.09.2015,1,0,2015-2016,47%,53%,10.0,4.0,5.0,1.0,5.0,2.0,0.0,1.0,16.0,12.0,0.0,4.0,0.0,3.0,1.0,4.0,11.0,13.0,3.0,3.0,55%,45%,2.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,39%,61%,8.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,10.0,6.0,0.0,4.0,0.0,2.0,1.0,3.0,5.0,8.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-23-Fiorentina-Bologna,serie-a,home,Fiorentina,Bologna,23.09.2015,2,0,2015-2016,64%,36%,17.0,3.0,4.0,1.0,4.0,2.0,9.0,0.0,14.0,16.0,6.0,0.0,1.0,3.0,1.0,2.0,13.0,13.0,1.0,2.0,70%,30%,8.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,10.0,8.0,3.0,0.0,0.0,3.0,1.0,1.0,8.0,8.0,58%,42%,9.0,2.0,3.0,0.0,0.0,2.0,6.0,0.0,4.0,8.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-23-Inter-Verona,serie-a,home,Inter,Verona,23.09.2015,1,0,2015-2016,62%,38%,17.0,7.0,4.0,1.0,3.0,5.0,10.0,1.0,12.0,12.0,11.0,2.0,0.0,4.0,1.0,3.0,12.0,8.0,4.0,4.0,62%,38%,12.0,1.0,2.0,0.0,2.0,1.0,8.0,0.0,6.0,6.0,7.0,1.0,0.0,2.0,0.0,2.0,6.0,4.0,62%,38%,5.0,6.0,2.0,1.0,1.0,4.0,2.0,1.0,6.0,6.0,4.0,1.0,0.0,2.0,1.0,1.0,6.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-23-Juventus-Frosinone,serie-a,home,Juventus,Frosinone,23.09.2015,1,1,2015-2016,64%,36%,36.0,9.0,7.0,1.0,18.0,3.0,11.0,5.0,12.0,16.0,10.0,5.0,1.0,2.0,0.0,6.0,16.0,10.0,2.0,3.0,60%,40%,14.0,5.0,0.0,0.0,9.0,2.0,5.0,3.0,6.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,68%,32%,22.0,4.0,7.0,1.0,9.0,1.0,6.0,2.0,6.0,8.0,4.0,2.0,1.0,2.0,0.0,6.0,7.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-23-Lazio-Genoa,serie-a,home,Lazio,Genoa,23.09.2015,2,0,2015-2016,55%,45%,10.0,9.0,3.0,3.0,5.0,5.0,2.0,1.0,14.0,21.0,10.0,3.0,2.0,2.0,3.0,1.0,16.0,13.0,4.0,4.0,52%,48%,6.0,7.0,2.0,3.0,3.0,4.0,1.0,0.0,8.0,9.0,7.0,3.0,0.0,1.0,3.0,1.0,9.0,6.0,58%,42%,4.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,6.0,12.0,3.0,0.0,2.0,1.0,0.0,0.0,7.0,7.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-23-Palermo-Sassuolo,serie-a,home,Palermo,Sassuolo,23.09.2015,0,1,2015-2016,48%,52%,9.0,13.0,2.0,4.0,5.0,7.0,2.0,2.0,16.0,24.0,2.0,5.0,3.0,1.0,3.0,2.0,21.0,15.0,2.0,6.0,51%,49%,3.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,8.0,11.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,5.0,45%,55%,6.0,9.0,1.0,2.0,3.0,5.0,2.0,2.0,8.0,13.0,1.0,3.0,3.0,1.0,2.0,1.0,14.0,10.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-23-Sampdoria-AS Roma,serie-a,home,Sampdoria,AS Roma,23.09.2015,2,1,2015-2016,37%,63%,6.0,24.0,3.0,8.0,2.0,6.0,1.0,10.0,17.0,17.0,4.0,19.0,3.0,2.0,7.0,1.0,14.0,15.0,6.0,3.0,33%,67%,2.0,6.0,1.0,3.0,1.0,3.0,0.0,0.0,9.0,7.0,2.0,10.0,2.0,2.0,3.0,1.0,4.0,7.0,41%,59%,4.0,18.0,2.0,5.0,1.0,3.0,1.0,10.0,8.0,10.0,2.0,9.0,1.0,0.0,4.0,0.0,10.0,8.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-24-Empoli-Atalanta,serie-a,home,Empoli,Atalanta,24.09.2015,0,1,2015-2016,51%,49%,10.0,13.0,1.0,3.0,6.0,6.0,3.0,4.0,22.0,13.0,4.0,5.0,1.0,3.0,2.0,1.0,12.0,19.0,2.0,4.0,46%,54%,5.0,10.0,0.0,1.0,3.0,6.0,2.0,3.0,13.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,12.0,56%,44%,5.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,9.0,11.0,3.0,3.0,1.0,2.0,2.0,1.0,10.0,7.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-26-AS Roma-Carpi,serie-a,home,AS Roma,Carpi,26.09.2015,5,1,2015-2016,69%,31%,17.0,13.0,10.0,6.0,6.0,3.0,1.0,4.0,17.0,13.0,6.0,6.0,0.0,3.0,5.0,5.0,13.0,14.0,1.0,1.0,63%,37%,10.0,2.0,7.0,2.0,3.0,0.0,0.0,0.0,9.0,6.0,3.0,2.0,0.0,1.0,1.0,4.0,6.0,8.0,75%,25%,7.0,11.0,3.0,4.0,3.0,3.0,1.0,4.0,8.0,7.0,3.0,4.0,0.0,2.0,4.0,1.0,7.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-26-Napoli-Juventus,serie-a,home,Napoli,Juventus,26.09.2015,2,1,2015-2016,50%,50%,13.0,12.0,5.0,3.0,6.0,5.0,2.0,4.0,19.0,18.0,4.0,4.0,0.0,4.0,2.0,3.0,17.0,14.0,2.0,4.0,53%,47%,7.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,9.0,6.0,1.0,1.0,0.0,3.0,1.0,1.0,6.0,7.0,47%,53%,6.0,10.0,3.0,2.0,1.0,4.0,2.0,4.0,10.0,12.0,3.0,3.0,0.0,1.0,1.0,2.0,11.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-09-27-Bologna-Udinese,serie-a,home,Bologna,Udinese,27.09.2015,1,2,2015-2016,52%,48%,12.0,12.0,3.0,3.0,4.0,6.0,5.0,3.0,16.0,13.0,6.0,4.0,1.0,3.0,1.0,2.0,12.0,13.0,4.0,3.0,48%,52%,5.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,9.0,7.0,3.0,2.0,1.0,2.0,0.0,1.0,6.0,7.0,56%,44%,7.0,8.0,1.0,3.0,2.0,4.0,4.0,1.0,7.0,6.0,3.0,2.0,0.0,1.0,1.0,1.0,6.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
