match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in,Match Total Passes,opponent Match Total Passes,1st half Total Passes,opponent 1st half Total Passes,2nd half Total Passes,opponent 2nd half Total Passes
serie-a-2015-2016-2015-08-29-AC Milan-Empoli,serie-a,home,AC Milan,Empoli,29.08.2015,2,1,2015-2016,51%,49%,6.0,18.0,4.0,3.0,2.0,11.0,0.0,4.0,16.0,23.0,6.0,5.0,3.0,2.0,2.0,2.0,20.0,15.0,0.0,2.0,55%,45%,4.0,8.0,2.0,2.0,2.0,5.0,0.0,1.0,11.0,7.0,1.0,4.0,0.0,2.0,1.0,1.0,7.0,9.0,47%,53%,2.0,10.0,2.0,1.0,0.0,6.0,0.0,3.0,5.0,16.0,5.0,1.0,3.0,0.0,1.0,1.0,13.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-29-Bologna-Sassuolo,serie-a,home,Bologna,Sassuolo,29.08.2015,0,1,2015-2016,51%,49%,6.0,9.0,2.0,2.0,1.0,5.0,3.0,2.0,14.0,20.0,11.0,5.0,5.0,1.0,1.0,2.0,15.0,12.0,3.0,1.0,48%,52%,3.0,5.0,1.0,0.0,0.0,4.0,2.0,1.0,7.0,10.0,3.0,2.0,2.0,0.0,0.0,1.0,8.0,7.0,54%,46%,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,10.0,8.0,3.0,3.0,1.0,1.0,1.0,7.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-30-AS Roma-Juventus,serie-a,home,AS Roma,Juventus,30.08.2015,2,1,2015-2016,61%,39%,18.0,10.0,7.0,2.0,8.0,7.0,3.0,1.0,17.0,16.0,6.0,6.0,1.0,1.0,1.0,5.0,15.0,16.0,3.0,4.0,68%,32%,8.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,9.0,8.0,4.0,1.0,1.0,0.0,0.0,1.0,7.0,9.0,54%,46%,10.0,9.0,6.0,2.0,3.0,6.0,1.0,1.0,8.0,8.0,2.0,5.0,0.0,1.0,1.0,4.0,8.0,7.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-30-Atalanta-Frosinone,serie-a,home,Atalanta,Frosinone,30.08.2015,2,0,2015-2016,61%,39%,25.0,14.0,11.0,4.0,8.0,7.0,6.0,3.0,16.0,11.0,9.0,2.0,2.0,4.0,4.0,9.0,9.0,13.0,1.0,4.0,58%,42%,16.0,5.0,6.0,2.0,5.0,1.0,5.0,2.0,7.0,6.0,6.0,0.0,0.0,1.0,2.0,5.0,6.0,7.0,64%,36%,9.0,9.0,5.0,2.0,3.0,6.0,1.0,1.0,9.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,6.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-30-Carpi-Inter,serie-a,home,Carpi,Inter,30.08.2015,1,2,2015-2016,34%,66%,10.0,12.0,5.0,5.0,4.0,3.0,1.0,4.0,18.0,17.0,2.0,6.0,6.0,1.0,3.0,4.0,11.0,17.0,3.0,4.0,30%,70%,6.0,4.0,3.0,3.0,3.0,0.0,0.0,1.0,8.0,6.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,7.0,38%,62%,4.0,8.0,2.0,2.0,1.0,3.0,1.0,3.0,10.0,11.0,1.0,4.0,3.0,0.0,1.0,1.0,8.0,10.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-30-Chievo-Lazio,serie-a,home,Chievo,Lazio,30.08.2015,4,0,2015-2016,44%,56%,9.0,13.0,5.0,2.0,3.0,7.0,1.0,4.0,14.0,13.0,2.0,8.0,3.0,2.0,2.0,1.0,11.0,14.0,0.0,1.0,45%,55%,5.0,7.0,4.0,1.0,0.0,4.0,1.0,2.0,9.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,8.0,43%,57%,4.0,6.0,1.0,1.0,3.0,3.0,0.0,2.0,5.0,10.0,1.0,4.0,1.0,1.0,1.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-30-Genoa-Verona,serie-a,home,Genoa,Verona,30.08.2015,2,0,2015-2016,61%,39%,20.0,12.0,6.0,2.0,9.0,8.0,5.0,2.0,16.0,21.0,4.0,4.0,2.0,3.0,2.0,4.0,19.0,13.0,2.0,2.0,64%,36%,9.0,5.0,1.0,0.0,7.0,4.0,1.0,1.0,8.0,10.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,7.0,58%,42%,11.0,7.0,5.0,2.0,2.0,4.0,4.0,1.0,8.0,11.0,3.0,2.0,1.0,2.0,2.0,3.0,10.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-30-Napoli-Sampdoria,serie-a,home,Napoli,Sampdoria,30.08.2015,2,2,2015-2016,58%,42%,27.0,9.0,7.0,4.0,11.0,4.0,9.0,1.0,11.0,9.0,4.0,1.0,1.0,3.0,2.0,5.0,9.0,8.0,0.0,2.0,53%,47%,12.0,4.0,3.0,0.0,7.0,3.0,2.0,1.0,6.0,6.0,2.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,63%,37%,15.0,5.0,4.0,4.0,4.0,1.0,7.0,0.0,5.0,3.0,2.0,1.0,1.0,0.0,2.0,4.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-30-Torino-Fiorentina,serie-a,home,Torino,Fiorentina,30.08.2015,3,1,2015-2016,35%,65%,11.0,8.0,6.0,5.0,2.0,3.0,3.0,0.0,10.0,20.0,4.0,2.0,5.0,0.0,4.0,3.0,15.0,10.0,2.0,3.0,32%,68%,4.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,6.0,8.0,2.0,1.0,1.0,0.0,2.0,1.0,7.0,6.0,38%,62%,7.0,3.0,5.0,2.0,1.0,2.0,1.0,-1.0,4.0,12.0,2.0,1.0,4.0,0.0,2.0,2.0,8.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-30-Udinese-Palermo,serie-a,home,Udinese,Palermo,30.08.2015,0,1,2015-2016,62%,38%,25.0,5.0,7.0,1.0,15.0,0.0,3.0,4.0,16.0,17.0,10.0,0.0,0.0,1.0,0.0,7.0,16.0,15.0,4.0,4.0,61%,39%,10.0,4.0,3.0,1.0,7.0,0.0,0.0,3.0,8.0,10.0,5.0,0.0,0.0,0.0,0.0,3.0,10.0,8.0,63%,37%,15.0,1.0,4.0,0.0,8.0,0.0,3.0,1.0,8.0,7.0,5.0,0.0,0.0,1.0,0.0,4.0,6.0,7.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
