match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Red Cards,opponent Match Red Cards,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Red Cards,opponent 2nd half Red Cards,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Red Cards,opponent 1st half Red Cards,Match Goal Kicks,opponent Match Goal Kicks,Match Pass Success %,opponent Match Pass Success %,Match Total Passes,opponent Match Total Passes,1st half Goal Kicks,opponent 1st half Goal Kicks,1st half Pass Success %,opponent 1st half Pass Success %,1st half Total Passes,opponent 1st half Total Passes,2nd half Goal Kicks,opponent 2nd half Goal Kicks,2nd half Pass Success %,opponent 2nd half Pass Success %,2nd half Total Passes,opponent 2nd half Total Passes,Match Throw-in,opponent Match Throw-in,1st half Throw-in,opponent 1st half Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
laliga-2015-2016-2015-10-31-Real Sociedad-Celta Vigo,laliga,home,Real Sociedad,Celta Vigo,31.10.2015,2,3,2015-2016,49%,51%,20.0,16.0,5.0,8.0,8.0,5.0,7.0,3.0,18.0,10.0,8.0,7.0,0.0,4.0,5.0,3.0,9.0,12.0,0.0,0.0,2.0,5.0,46%,54%,10.0,6.0,3.0,4.0,3.0,0.0,4.0,2.0,11.0,3.0,3.0,3.0,0.0,4.0,3.0,1.0,2.0,5.0,0.0,1.0,52%,48%,10.0,10.0,2.0,4.0,5.0,5.0,3.0,1.0,7.0,7.0,5.0,4.0,0.0,0.0,2.0,2.0,7.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-10-31-Valencia-Levante,laliga,home,Valencia,Levante,31.10.2015,3,0,2015-2016,60%,40%,13.0,10.0,6.0,5.0,3.0,4.0,4.0,1.0,20.0,22.0,5.0,5.0,4.0,1.0,5.0,3.0,19.0,21.0,0.0,0.0,2.0,2.0,57%,43%,3.0,5.0,1.0,1.0,2.0,3.0,0.0,1.0,11.0,15.0,2.0,3.0,3.0,1.0,1.0,1.0,13.0,11.0,1.0,1.0,63%,37%,10.0,5.0,5.0,4.0,1.0,1.0,4.0,0.0,9.0,7.0,3.0,2.0,1.0,0.0,4.0,2.0,6.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-10-31-Villarreal-Sevilla,laliga,home,Villarreal,Sevilla,31.10.2015,2,1,2015-2016,52%,48%,11.0,6.0,5.0,3.0,5.0,3.0,1.0,0.0,18.0,20.0,7.0,5.0,2.0,4.0,2.0,3.0,17.0,14.0,0.0,0.0,5.0,3.0,51%,49%,7.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,9.0,9.0,5.0,1.0,1.0,4.0,0.0,2.0,7.0,6.0,2.0,1.0,53%,47%,4.0,5.0,2.0,3.0,2.0,2.0,0.0,0.0,9.0,11.0,2.0,4.0,1.0,0.0,2.0,1.0,10.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-01-Betis-Ath Bilbao,laliga,home,Betis,Ath Bilbao,01.11.2015,1,3,2015-2016,52%,48%,11.0,23.0,3.0,9.0,2.0,7.0,6.0,7.0,15.0,13.0,7.0,9.0,4.0,3.0,6.0,2.0,9.0,13.0,0.0,0.0,2.0,4.0,47%,53%,5.0,11.0,1.0,4.0,0.0,3.0,4.0,4.0,8.0,9.0,2.0,4.0,2.0,1.0,2.0,1.0,7.0,7.0,1.0,3.0,57%,43%,6.0,12.0,2.0,5.0,2.0,4.0,2.0,3.0,7.0,4.0,5.0,5.0,2.0,2.0,4.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-01-Eibar-Rayo Vallecano,laliga,home,Eibar,Rayo Vallecano,01.11.2015,1,0,2015-2016,38%,62%,12.0,6.0,1.0,2.0,9.0,4.0,2.0,0.0,16.0,24.0,2.0,6.0,7.0,5.0,2.0,0.0,17.0,11.0,0.0,0.0,2.0,3.0,35%,65%,6.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,8.0,12.0,1.0,4.0,3.0,2.0,1.0,0.0,9.0,6.0,0.0,1.0,41%,59%,6.0,4.0,0.0,1.0,5.0,3.0,1.0,0.0,8.0,12.0,1.0,2.0,4.0,3.0,1.0,0.0,8.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-01-Espanyol-Granada CF,laliga,home,Espanyol,Granada CF,01.11.2015,1,1,2015-2016,58%,42%,10.0,9.0,4.0,5.0,5.0,4.0,1.0,0.0,21.0,18.0,5.0,6.0,4.0,3.0,4.0,3.0,16.0,19.0,1.0,0.0,3.0,6.0,57%,43%,2.0,5.0,0.0,2.0,2.0,3.0,0.0,0.0,13.0,6.0,0.0,4.0,3.0,1.0,2.0,0.0,4.0,12.0,0.0,2.0,59%,41%,8.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,8.0,12.0,5.0,2.0,1.0,2.0,2.0,3.0,12.0,7.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-01-Gijon-Malaga,laliga,home,Gijon,Malaga,01.11.2015,1,0,2015-2016,36%,64%,8.0,13.0,6.0,5.0,2.0,6.0,0.0,2.0,9.0,15.0,7.0,5.0,4.0,1.0,5.0,5.0,11.0,8.0,0.0,0.0,1.0,3.0,39%,61%,2.0,6.0,1.0,2.0,1.0,2.0,0.0,2.0,4.0,8.0,5.0,1.0,3.0,1.0,2.0,0.0,5.0,3.0,1.0,1.0,33%,67%,6.0,7.0,5.0,3.0,1.0,4.0,0.0,0.0,5.0,7.0,2.0,4.0,1.0,0.0,3.0,5.0,6.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-06-Las Palmas-Real Sociedad,laliga,home,Las Palmas,Real Sociedad,06.11.2015,2,0,2015-2016,46%,54%,8.0,11.0,4.0,6.0,3.0,2.0,1.0,3.0,15.0,21.0,0.0,8.0,4.0,1.0,6.0,2.0,17.0,14.0,0.0,0.0,1.0,4.0,51%,49%,3.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,11.0,10.0,0.0,3.0,1.0,1.0,2.0,1.0,9.0,10.0,1.0,2.0,41%,59%,5.0,7.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,11.0,0.0,5.0,3.0,0.0,4.0,1.0,8.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-07-Celta Vigo-Valencia,laliga,home,Celta Vigo,Valencia,07.11.2015,1,5,2015-2016,60%,40%,17.0,9.0,3.0,5.0,8.0,2.0,6.0,2.0,29.0,21.0,15.0,5.0,5.0,1.0,0.0,2.0,16.0,27.0,0.0,0.0,1.0,3.0,62%,38%,7.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,15.0,10.0,8.0,1.0,2.0,0.0,0.0,2.0,8.0,15.0,0.0,2.0,58%,42%,10.0,4.0,0.0,3.0,6.0,0.0,4.0,1.0,14.0,11.0,7.0,4.0,3.0,1.0,0.0,0.0,8.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-07-Eibar-Getafe,laliga,home,Eibar,Getafe,07.11.2015,3,1,2015-2016,45%,55%,16.0,10.0,7.0,4.0,3.0,5.0,6.0,1.0,9.0,17.0,5.0,7.0,4.0,0.0,3.0,4.0,13.0,9.0,0.0,1.0,3.0,1.0,42%,58%,4.0,5.0,2.0,2.0,0.0,3.0,2.0,0.0,6.0,7.0,2.0,3.0,1.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,48%,52%,12.0,5.0,5.0,2.0,3.0,2.0,4.0,1.0,3.0,10.0,3.0,4.0,3.0,0.0,2.0,4.0,7.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-07-Levante-Dep. La Coruna,laliga,home,Levante,Dep. La Coruna,07.11.2015,1,1,2015-2016,54%,46%,15.0,9.0,5.0,5.0,6.0,2.0,4.0,2.0,9.0,18.0,9.0,5.0,5.0,0.0,4.0,4.0,13.0,10.0,0.0,0.0,4.0,2.0,62%,38%,5.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,9.0,5.0,1.0,4.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,46%,54%,10.0,5.0,4.0,3.0,3.0,1.0,3.0,1.0,5.0,9.0,4.0,4.0,1.0,0.0,3.0,3.0,8.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-07-Malaga-Betis,laliga,home,Malaga,Betis,07.11.2015,0,1,2015-2016,58%,42%,12.0,7.0,5.0,2.0,6.0,3.0,1.0,2.0,19.0,19.0,6.0,3.0,1.0,3.0,1.0,5.0,16.0,12.0,0.0,0.0,2.0,5.0,55%,45%,8.0,6.0,3.0,1.0,4.0,3.0,1.0,2.0,4.0,7.0,4.0,3.0,0.0,1.0,1.0,3.0,6.0,2.0,0.0,2.0,61%,39%,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,15.0,12.0,2.0,0.0,1.0,2.0,0.0,2.0,10.0,10.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-07-Rayo Vallecano-Granada CF,laliga,home,Rayo Vallecano,Granada CF,07.11.2015,2,1,2015-2016,42%,58%,7.0,8.0,2.0,2.0,4.0,5.0,1.0,1.0,23.0,20.0,4.0,1.0,4.0,9.0,1.0,0.0,15.0,14.0,1.0,0.0,4.0,3.0,47%,53%,4.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,11.0,11.0,3.0,0.0,3.0,4.0,1.0,0.0,8.0,7.0,2.0,1.0,36%,64%,3.0,5.0,0.0,1.0,3.0,3.0,0.0,1.0,12.0,9.0,1.0,1.0,1.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-08-Ath Bilbao-Espanyol,laliga,home,Ath Bilbao,Espanyol,08.11.2015,2,1,2015-2016,44%,56%,8.0,5.0,2.0,1.0,5.0,1.0,1.0,3.0,28.0,15.0,4.0,5.0,0.0,4.0,0.0,0.0,17.0,25.0,0.0,0.0,2.0,6.0,49%,51%,5.0,4.0,1.0,0.0,4.0,1.0,0.0,3.0,11.0,7.0,2.0,4.0,0.0,2.0,0.0,0.0,8.0,10.0,0.0,1.0,39%,61%,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,17.0,8.0,2.0,1.0,0.0,2.0,0.0,0.0,9.0,15.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-08-Atl. Madrid-Gijon,laliga,home,Atl. Madrid,Gijon,08.11.2015,1,0,2015-2016,72%,28%,15.0,9.0,3.0,2.0,8.0,4.0,4.0,3.0,15.0,15.0,5.0,1.0,3.0,0.0,2.0,2.0,14.0,15.0,0.0,0.0,4.0,3.0,71%,29%,3.0,4.0,0.0,1.0,2.0,3.0,1.0,0.0,11.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,11.0,2.0,2.0,73%,27%,12.0,5.0,3.0,1.0,6.0,1.0,3.0,3.0,4.0,10.0,2.0,1.0,2.0,0.0,1.0,2.0,9.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-08-Barcelona-Villarreal,laliga,home,Barcelona,Villarreal,08.11.2015,3,0,2015-2016,64%,36%,20.0,5.0,9.0,2.0,8.0,2.0,3.0,1.0,20.0,14.0,7.0,2.0,2.0,3.0,2.0,6.0,12.0,19.0,0.0,0.0,5.0,3.0,65%,35%,9.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,12.0,8.0,4.0,2.0,2.0,2.0,1.0,3.0,6.0,10.0,2.0,1.0,63%,37%,11.0,2.0,6.0,1.0,5.0,0.0,0.0,1.0,8.0,6.0,3.0,0.0,0.0,1.0,1.0,3.0,6.0,9.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-08-Sevilla-Real Madrid,laliga,home,Sevilla,Real Madrid,08.11.2015,3,2,2015-2016,45%,55%,14.0,28.0,5.0,10.0,5.0,11.0,4.0,7.0,13.0,13.0,4.0,6.0,0.0,2.0,8.0,2.0,13.0,11.0,0.0,0.0,1.0,1.0,37%,63%,5.0,12.0,1.0,4.0,2.0,4.0,2.0,4.0,7.0,8.0,3.0,4.0,0.0,2.0,3.0,0.0,8.0,5.0,1.0,1.0,53%,47%,9.0,16.0,4.0,6.0,3.0,7.0,2.0,3.0,6.0,5.0,1.0,2.0,0.0,0.0,5.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-21-Dep. La Coruna-Celta Vigo,laliga,home,Dep. La Coruna,Celta Vigo,21.11.2015,2,0,2015-2016,40%,60%,5.0,6.0,2.0,4.0,3.0,0.0,0.0,2.0,15.0,14.0,2.0,10.0,1.0,4.0,4.0,0.0,16.0,13.0,0.0,0.0,6.0,3.0,44%,56%,2.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0,5.0,1.0,6.0,1.0,3.0,2.0,0.0,7.0,7.0,2.0,1.0,36%,64%,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,9.0,1.0,4.0,0.0,1.0,2.0,0.0,9.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-21-Espanyol-Malaga,laliga,home,Espanyol,Malaga,21.11.2015,2,0,2015-2016,41%,59%,7.0,14.0,3.0,5.0,4.0,5.0,0.0,4.0,20.0,22.0,3.0,8.0,2.0,4.0,5.0,1.0,20.0,16.0,0.0,0.0,5.0,2.0,41%,59%,5.0,8.0,3.0,4.0,2.0,2.0,0.0,2.0,8.0,13.0,1.0,4.0,1.0,2.0,4.0,1.0,13.0,6.0,2.0,2.0,41%,59%,2.0,6.0,0.0,1.0,2.0,3.0,0.0,2.0,12.0,9.0,2.0,4.0,1.0,2.0,1.0,0.0,7.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-21-Real Madrid-Barcelona,laliga,home,Real Madrid,Barcelona,21.11.2015,0,4,2015-2016,41%,59%,13.0,18.0,7.0,7.0,2.0,7.0,4.0,4.0,9.0,16.0,10.0,4.0,3.0,0.0,3.0,7.0,13.0,10.0,1.0,0.0,3.0,2.0,37%,63%,1.0,9.0,1.0,4.0,0.0,3.0,0.0,2.0,6.0,6.0,1.0,2.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,1.0,45%,55%,12.0,9.0,6.0,3.0,2.0,4.0,4.0,2.0,3.0,10.0,9.0,2.0,2.0,0.0,1.0,6.0,8.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-21-Real Sociedad-Sevilla,laliga,home,Real Sociedad,Sevilla,21.11.2015,2,0,2015-2016,61%,39%,14.0,12.0,7.0,5.0,2.0,5.0,5.0,2.0,15.0,8.0,7.0,5.0,2.0,2.0,5.0,5.0,6.0,14.0,0.0,0.0,2.0,1.0,61%,39%,6.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,10.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,10.0,1.0,1.0,61%,39%,8.0,9.0,5.0,3.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-21-Valencia-Las Palmas,laliga,home,Valencia,Las Palmas,21.11.2015,1,1,2015-2016,38%,62%,9.0,18.0,3.0,7.0,3.0,9.0,3.0,2.0,12.0,26.0,1.0,8.0,5.0,0.0,6.0,2.0,22.0,12.0,0.0,0.0,3.0,3.0,40%,60%,4.0,6.0,2.0,2.0,1.0,4.0,1.0,0.0,2.0,15.0,0.0,2.0,2.0,0.0,2.0,1.0,14.0,2.0,1.0,1.0,36%,64%,5.0,12.0,1.0,5.0,2.0,5.0,2.0,2.0,10.0,11.0,1.0,6.0,3.0,0.0,4.0,1.0,8.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-22-Betis-Atl. Madrid,laliga,home,Betis,Atl. Madrid,22.11.2015,0,1,2015-2016,43%,57%,6.0,11.0,3.0,4.0,3.0,7.0,0.0,0.0,8.0,12.0,2.0,6.0,0.0,0.0,3.0,3.0,12.0,8.0,0.0,0.0,1.0,4.0,43%,57%,3.0,7.0,1.0,3.0,2.0,4.0,0.0,0.0,4.0,5.0,1.0,5.0,0.0,0.0,2.0,1.0,5.0,4.0,0.0,3.0,43%,57%,3.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,4.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,7.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-22-Gijon-Levante,laliga,home,Gijon,Levante,22.11.2015,0,3,2015-2016,52%,48%,13.0,13.0,2.0,6.0,7.0,7.0,4.0,0.0,18.0,17.0,5.0,3.0,2.0,4.0,3.0,2.0,15.0,15.0,0.0,0.0,4.0,5.0,56%,44%,4.0,9.0,0.0,5.0,3.0,4.0,1.0,0.0,5.0,6.0,2.0,3.0,0.0,1.0,2.0,0.0,6.0,4.0,1.0,0.0,48%,52%,9.0,4.0,2.0,1.0,4.0,3.0,3.0,0.0,13.0,11.0,3.0,0.0,2.0,3.0,1.0,2.0,9.0,11.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-22-Granada CF-Ath Bilbao,laliga,home,Granada CF,Ath Bilbao,22.11.2015,2,0,2015-2016,34%,66%,8.0,11.0,1.0,6.0,4.0,3.0,3.0,2.0,17.0,24.0,2.0,7.0,2.0,2.0,6.0,0.0,21.0,15.0,0.0,0.0,6.0,3.0,35%,65%,3.0,4.0,0.0,3.0,1.0,0.0,2.0,1.0,9.0,15.0,2.0,3.0,2.0,1.0,3.0,0.0,13.0,8.0,1.0,3.0,33%,67%,5.0,7.0,1.0,3.0,3.0,3.0,1.0,1.0,8.0,9.0,0.0,4.0,0.0,1.0,3.0,0.0,8.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-22-Villarreal-Eibar,laliga,home,Villarreal,Eibar,22.11.2015,1,1,2015-2016,58%,42%,12.0,17.0,5.0,7.0,5.0,4.0,2.0,6.0,15.0,9.0,12.0,6.0,2.0,3.0,6.0,4.0,8.0,13.0,0.0,1.0,3.0,4.0,59%,41%,6.0,9.0,3.0,5.0,2.0,2.0,1.0,2.0,7.0,4.0,10.0,2.0,1.0,3.0,4.0,3.0,4.0,5.0,2.0,0.0,57%,43%,6.0,8.0,2.0,2.0,3.0,2.0,1.0,4.0,8.0,5.0,2.0,4.0,1.0,0.0,2.0,1.0,4.0,8.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-23-Getafe-Rayo Vallecano,laliga,home,Getafe,Rayo Vallecano,23.11.2015,1,1,2015-2016,47%,53%,16.0,8.0,9.0,4.0,5.0,3.0,2.0,1.0,17.0,24.0,5.0,7.0,5.0,2.0,3.0,8.0,20.0,15.0,0.0,0.0,5.0,4.0,40%,60%,9.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,10.0,9.0,2.0,3.0,1.0,1.0,1.0,3.0,8.0,9.0,0.0,2.0,54%,46%,7.0,6.0,6.0,3.0,1.0,2.0,0.0,1.0,7.0,15.0,3.0,4.0,4.0,1.0,2.0,5.0,12.0,6.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-11-27-Levante-Betis,laliga,home,Levante,Betis,27.11.2015,0,1,2015-2016,57%,43%,14.0,11.0,1.0,5.0,9.0,4.0,4.0,2.0,19.0,14.0,7.0,4.0,2.0,4.0,4.0,1.0,12.0,15.0,1.0,1.0,5.0,6.0,54%,46%,5.0,5.0,0.0,3.0,4.0,1.0,1.0,1.0,10.0,7.0,0.0,2.0,2.0,2.0,2.0,0.0,5.0,8.0,2.0,2.0,60%,40%,9.0,6.0,1.0,2.0,5.0,3.0,3.0,1.0,9.0,7.0,7.0,2.0,0.0,2.0,2.0,1.0,7.0,7.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
