match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Red Cards,opponent Match Red Cards,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Red Cards,opponent 2nd half Red Cards,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Red Cards,opponent 1st half Red Cards,Match Goal Kicks,opponent Match Goal Kicks,Match Pass Success %,opponent Match Pass Success %,Match Total Passes,opponent Match Total Passes,1st half Goal Kicks,opponent 1st half Goal Kicks,1st half Pass Success %,opponent 1st half Pass Success %,1st half Total Passes,opponent 1st half Total Passes,2nd half Goal Kicks,opponent 2nd half Goal Kicks,2nd half Pass Success %,opponent 2nd half Pass Success %,2nd half Total Passes,opponent 2nd half Total Passes,Match Throw-in,opponent Match Throw-in,1st half Throw-in,opponent 1st half Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
laliga-2015-2016-2015-08-28-Villarreal-Espanyol,laliga,home,Villarreal,Espanyol,28.08.2015,3,1,2015-2016,57%,43%,14.0,5.0,4.0,3.0,8.0,2.0,2.0,0.0,21.0,14.0,2.0,3.0,5.0,1.0,2.0,1.0,10.0,20.0,0.0,0.0,1.0,6.0,59%,41%,6.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,4.0,55%,45%,8.0,3.0,3.0,2.0,4.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,4.0,1.0,2.0,0.0,6.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-29-Barcelona-Malaga,laliga,home,Barcelona,Malaga,29.08.2015,1,0,2015-2016,70%,30%,22.0,4.0,13.0,1.0,6.0,3.0,3.0,0.0,24.0,8.0,15.0,2.0,4.0,3.0,1.0,12.0,4.0,21.0,0.0,0.0,0.0,3.0,68%,32%,8.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,12.0,2.0,7.0,2.0,0.0,2.0,1.0,5.0,2.0,10.0,0.0,1.0,72%,28%,14.0,2.0,8.0,0.0,4.0,2.0,2.0,0.0,12.0,6.0,8.0,0.0,4.0,1.0,0.0,7.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-29-Celta Vigo-Rayo Vallecano,laliga,home,Celta Vigo,Rayo Vallecano,29.08.2015,3,0,2015-2016,60%,40%,11.0,3.0,7.0,0.0,1.0,2.0,3.0,1.0,17.0,14.0,5.0,4.0,6.0,6.0,0.0,4.0,7.0,11.0,0.0,1.0,3.0,2.0,65%,35%,6.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,8.0,1.0,2.0,3.0,2.0,0.0,3.0,5.0,5.0,2.0,0.0,55%,45%,5.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,6.0,4.0,2.0,3.0,4.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-29-Real Madrid-Betis,laliga,home,Real Madrid,Betis,29.08.2015,5,0,2015-2016,68%,32%,21.0,7.0,11.0,1.0,6.0,3.0,4.0,3.0,14.0,14.0,11.0,4.0,3.0,0.0,1.0,6.0,12.0,14.0,0.0,0.0,3.0,3.0,66%,34%,9.0,3.0,5.0,0.0,3.0,2.0,1.0,1.0,9.0,8.0,4.0,3.0,3.0,0.0,0.0,3.0,5.0,9.0,1.0,2.0,70%,30%,12.0,4.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,6.0,7.0,1.0,0.0,0.0,1.0,3.0,7.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-29-Real Sociedad-Gijon,laliga,home,Real Sociedad,Gijon,29.08.2015,0,0,2015-2016,58%,42%,12.0,7.0,1.0,2.0,9.0,3.0,2.0,2.0,17.0,13.0,6.0,4.0,2.0,2.0,2.0,1.0,10.0,15.0,0.0,0.0,4.0,5.0,66%,34%,4.0,4.0,1.0,1.0,3.0,2.0,0.0,1.0,10.0,5.0,2.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,1.0,2.0,50%,50%,8.0,3.0,0.0,1.0,6.0,1.0,2.0,1.0,7.0,8.0,4.0,4.0,2.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-30-Eibar-Ath Bilbao,laliga,home,Eibar,Ath Bilbao,30.08.2015,2,0,2015-2016,47%,53%,9.0,9.0,8.0,1.0,0.0,5.0,1.0,3.0,13.0,17.0,11.0,4.0,3.0,1.0,1.0,6.0,14.0,13.0,0.0,0.0,2.0,2.0,53%,47%,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,6.0,2.0,2.0,0.0,0.0,3.0,5.0,8.0,0.0,2.0,41%,59%,4.0,9.0,4.0,1.0,0.0,5.0,0.0,3.0,6.0,10.0,5.0,2.0,1.0,1.0,1.0,3.0,9.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-30-Getafe-Granada CF,laliga,home,Getafe,Granada CF,30.08.2015,1,2,2015-2016,61%,39%,16.0,9.0,4.0,4.0,7.0,3.0,5.0,2.0,19.0,15.0,6.0,6.0,0.0,3.0,2.0,3.0,16.0,15.0,0.0,0.0,5.0,3.0,50%,50%,4.0,8.0,0.0,4.0,3.0,3.0,1.0,1.0,8.0,8.0,0.0,4.0,0.0,1.0,2.0,0.0,9.0,6.0,4.0,0.0,72%,28%,12.0,1.0,4.0,0.0,4.0,0.0,4.0,1.0,11.0,7.0,6.0,2.0,0.0,2.0,0.0,3.0,7.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-30-Las Palmas-Levante,laliga,home,Las Palmas,Levante,30.08.2015,0,0,2015-2016,64%,36%,16.0,3.0,2.0,2.0,10.0,1.0,4.0,0.0,23.0,17.0,3.0,0.0,4.0,2.0,2.0,2.0,14.0,21.0,0.0,0.0,2.0,4.0,60%,40%,6.0,3.0,0.0,2.0,4.0,1.0,2.0,0.0,5.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,4.0,0.0,0.0,68%,32%,10.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,18.0,10.0,3.0,0.0,3.0,1.0,0.0,2.0,7.0,17.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-30-Sevilla-Atl. Madrid,laliga,home,Sevilla,Atl. Madrid,30.08.2015,0,3,2015-2016,63%,37%,25.0,17.0,7.0,7.0,6.0,7.0,12.0,3.0,14.0,17.0,11.0,1.0,0.0,0.0,4.0,7.0,17.0,13.0,0.0,0.0,3.0,4.0,61%,39%,6.0,8.0,5.0,3.0,1.0,3.0,0.0,2.0,7.0,11.0,2.0,1.0,0.0,0.0,2.0,5.0,11.0,7.0,2.0,2.0,65%,35%,19.0,9.0,2.0,4.0,5.0,4.0,12.0,1.0,7.0,6.0,9.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-30-Valencia-Dep. La Coruna,laliga,home,Valencia,Dep. La Coruna,30.08.2015,1,1,2015-2016,54%,46%,12.0,12.0,6.0,3.0,3.0,6.0,3.0,3.0,18.0,16.0,5.0,7.0,4.0,1.0,2.0,5.0,13.0,16.0,1.0,0.0,4.0,1.0,51%,49%,2.0,8.0,1.0,1.0,0.0,5.0,1.0,2.0,12.0,6.0,2.0,4.0,1.0,1.0,0.0,0.0,6.0,11.0,1.0,0.0,57%,43%,10.0,4.0,5.0,2.0,3.0,1.0,2.0,1.0,6.0,10.0,3.0,3.0,3.0,0.0,2.0,5.0,7.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
