match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Blocked Shots,opponent Match Blocked Shots,1st half Blocked Shots,opponent 1st half Blocked Shots,2nd half Blocked Shots,opponent 2nd half Blocked Shots,Match Pass Success %,opponent Match Pass Success %,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,2nd half Pass Success %,opponent 2nd half Pass Success %,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
ligue-1-2016-2017-2016-08-19-Lyon-Caen,ligue-1,home,Lyon,Caen,19.08.2016,2,0,2016-2017,66%,34%,21.0,7.0,8.0,1.0,13.0,6.0,12.0,17.0,13.0,3.0,0.0,0.0,1.0,6.0,17.0,14.0,3.0,4.0,69%,31%,13.0,0.0,4.0,0.0,9.0,0.0,4.0,7.0,8.0,1.0,0.0,0.0,0.0,3.0,7.0,5.0,0.0,2.0,63%,37%,8.0,7.0,4.0,1.0,4.0,6.0,8.0,10.0,5.0,2.0,0.0,0.0,1.0,3.0,10.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-20-Angers-Nice,ligue-1,home,Angers,Nice,20.08.2016,0,1,2016-2017,43%,57%,17.0,12.0,6.0,8.0,11.0,4.0,8.0,10.0,10.0,3.0,2.0,2.0,7.0,6.0,10.0,9.0,1.0,2.0,56%,44%,15.0,8.0,4.0,4.0,11.0,4.0,3.0,6.0,7.0,1.0,2.0,1.0,3.0,4.0,5.0,4.0,1.0,0.0,30%,70%,2.0,4.0,2.0,4.0,0.0,0.0,5.0,4.0,3.0,2.0,0.0,1.0,4.0,2.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-20-Lille-Dijon,ligue-1,home,Lille,Dijon,20.08.2016,1,0,2016-2017,54%,46%,10.0,7.0,3.0,2.0,7.0,5.0,15.0,12.0,6.0,5.0,1.0,2.0,2.0,2.0,13.0,13.0,1.0,2.0,45%,55%,3.0,5.0,1.0,1.0,2.0,4.0,6.0,7.0,3.0,1.0,0.0,1.0,1.0,1.0,8.0,6.0,0.0,1.0,63%,37%,7.0,2.0,2.0,1.0,5.0,1.0,9.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-20-Lorient-Bastia,ligue-1,home,Lorient,Bastia,20.08.2016,0,3,2016-2017,52%,48%,12.0,15.0,3.0,7.0,9.0,8.0,11.0,15.0,2.0,5.0,1.0,1.0,4.0,3.0,16.0,9.0,2.0,4.0,52%,48%,5.0,3.0,1.0,2.0,4.0,1.0,4.0,10.0,0.0,2.0,1.0,0.0,0.0,1.0,9.0,4.0,0.0,3.0,52%,48%,7.0,12.0,2.0,5.0,5.0,7.0,7.0,5.0,2.0,3.0,0.0,1.0,4.0,2.0,7.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-20-Nantes-Monaco,ligue-1,home,Nantes,Monaco,20.08.2016,0,1,2016-2017,54%,46%,7.0,6.0,2.0,3.0,5.0,3.0,18.0,18.0,10.0,3.0,3.0,0.0,2.0,2.0,14.0,19.0,2.0,4.0,47%,53%,1.0,3.0,0.0,1.0,1.0,2.0,8.0,8.0,2.0,1.0,3.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,61%,39%,6.0,3.0,2.0,2.0,4.0,1.0,10.0,10.0,8.0,2.0,0.0,0.0,2.0,2.0,9.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-20-Rennes-Nancy,ligue-1,home,Rennes,Nancy,20.08.2016,2,0,2016-2017,50%,50%,7.0,6.0,3.0,1.0,4.0,5.0,11.0,10.0,3.0,7.0,0.0,3.0,1.0,1.0,11.0,8.0,4.0,2.0,53%,47%,3.0,4.0,1.0,0.0,2.0,4.0,8.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,7.0,6.0,1.0,2.0,47%,53%,4.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,6.0,0.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-20-Toulouse-Bordeaux,ligue-1,home,Toulouse,Bordeaux,20.08.2016,4,1,2016-2017,45%,55%,9.0,7.0,5.0,2.0,4.0,5.0,16.0,19.0,3.0,6.0,1.0,2.0,1.0,1.0,19.0,14.0,1.0,5.0,49%,51%,7.0,3.0,2.0,1.0,5.0,2.0,8.0,9.0,2.0,1.0,0.0,1.0,1.0,0.0,9.0,7.0,1.0,1.0,41%,59%,2.0,4.0,3.0,1.0,-1.0,3.0,8.0,10.0,1.0,5.0,1.0,1.0,0.0,1.0,10.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-21-Guingamp-Marseille,ligue-1,home,Guingamp,Marseille,21.08.2016,2,1,2016-2017,42%,58%,12.0,5.0,4.0,3.0,8.0,2.0,20.0,14.0,4.0,6.0,4.0,4.0,2.0,2.0,9.0,17.0,0.0,1.0,44%,56%,10.0,5.0,2.0,2.0,8.0,3.0,8.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,7.0,0.0,1.0,39%,61%,2.0,0.0,2.0,1.0,0.0,-1.0,12.0,10.0,1.0,3.0,2.0,3.0,0.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-21-Paris SG-Metz,ligue-1,home,Paris SG,Metz,21.08.2016,3,0,2016-2017,67%,33%,20.0,9.0,8.0,6.0,12.0,3.0,8.0,13.0,15.0,2.0,3.0,2.0,6.0,5.0,10.0,7.0,1.0,1.0,59%,41%,21.0,3.0,4.0,0.0,17.0,3.0,3.0,4.0,10.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,0.0,75%,25%,-1.0,6.0,4.0,6.0,-5.0,0.0,5.0,9.0,5.0,2.0,2.0,1.0,6.0,1.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-21-St Etienne-Montpellier,ligue-1,home,St Etienne,Montpellier,21.08.2016,3,1,2016-2017,58%,42%,15.0,13.0,5.0,3.0,10.0,10.0,12.0,12.0,4.0,6.0,3.0,1.0,2.0,2.0,9.0,12.0,1.0,1.0,62%,38%,7.0,6.0,0.0,3.0,7.0,3.0,7.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,0.0,0.0,54%,46%,8.0,7.0,5.0,0.0,3.0,7.0,5.0,9.0,1.0,6.0,2.0,0.0,0.0,2.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
