match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Blocked Shots,opponent Match Blocked Shots,1st half Blocked Shots,opponent 1st half Blocked Shots,2nd half Blocked Shots,opponent 2nd half Blocked Shots,Match Pass Success %,opponent Match Pass Success %,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,2nd half Pass Success %,opponent 2nd half Pass Success %,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
ligue-1-2016-2017-2016-10-22-Bordeaux-Nancy,ligue-1,home,Bordeaux,Nancy,22.10.2016,1,1,2016-2017,57%,43%,12.0,11.0,2.0,3.0,6.0,8.0,0.0,0.0,5.0,4.0,6.0,3.0,2.0,1.0,12.0,16.0,1.0,3.0,65%,35%,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,8.0,12.0,0.0,2.0,49%,51%,7.0,10.0,2.0,3.0,3.0,7.0,0.0,0.0,3.0,3.0,5.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-22-Dijon-Lorient,ligue-1,home,Dijon,Lorient,22.10.2016,1,0,2016-2017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-22-Lille-Bastia,ligue-1,home,Lille,Bastia,22.10.2016,2,1,2016-2017,54%,46%,17.0,5.0,8.0,1.0,7.0,4.0,0.0,0.0,8.0,4.0,2.0,0.0,0.0,6.0,17.0,20.0,3.0,1.0,56%,44%,7.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,0.0,0.0,52%,48%,10.0,4.0,6.0,1.0,2.0,3.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,4.0,8.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-22-Lyon-Guingamp,ligue-1,home,Lyon,Guingamp,22.10.2016,1,3,2016-2017,69%,31%,18.0,6.0,6.0,5.0,9.0,1.0,0.0,0.0,9.0,5.0,2.0,1.0,2.0,5.0,13.0,20.0,1.0,3.0,69%,31%,11.0,2.0,3.0,1.0,7.0,1.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,2.0,7.0,13.0,0.0,1.0,69%,31%,7.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,6.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-22-Nantes-Rennes,ligue-1,home,Nantes,Rennes,22.10.2016,1,2,2016-2017,48%,52%,9.0,7.0,4.0,3.0,4.0,3.0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,3.0,12.0,8.0,1.0,3.0,54%,46%,5.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,41%,59%,4.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,5.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-23-Caen-St Etienne,ligue-1,home,Caen,St Etienne,23.10.2016,0,2,2016-2017,43%,57%,9.0,13.0,1.0,6.0,6.0,3.0,0.0,0.0,4.0,5.0,4.0,2.0,4.0,1.0,7.0,13.0,1.0,1.0,35%,65%,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,5.0,7.0,0.0,1.0,51%,49%,8.0,11.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,5.0,2.0,1.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-23-Metz-Nice,ligue-1,home,Metz,Nice,23.10.2016,2,4,2016-2017,30%,70%,9.0,17.0,5.0,8.0,2.0,3.0,0.0,0.0,4.0,3.0,3.0,1.0,4.0,3.0,17.0,1.0,4.0,0.0,29%,71%,7.0,9.0,4.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,3.0,8.0,1.0,0.0,0.0,31%,69%,2.0,8.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-23-Paris SG-Marseille,ligue-1,home,Paris SG,Marseille,23.10.2016,0,0,2016-2017,70%,30%,16.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,3.0,2.0,0.0,2.0,4.0,10.0,0.0,2.0,73%,27%,6.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,67%,33%,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-28-Lille-Paris SG,ligue-1,home,Lille,Paris SG,28.10.2016,0,1,2016-2017,34%,66%,10.0,17.0,1.0,7.0,6.0,7.0,0.0,0.0,2.0,3.0,2.0,3.0,6.0,1.0,21.0,17.0,2.0,1.0,34%,66%,3.0,12.0,1.0,5.0,2.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,1.0,11.0,10.0,0.0,1.0,34%,66%,7.0,5.0,0.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,10.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-29-Bastia-Dijon,ligue-1,home,Bastia,Dijon,29.10.2016,0,0,2016-2017,53%,47%,19.0,8.0,11.0,2.0,4.0,3.0,0.0,0.0,13.0,5.0,3.0,1.0,2.0,11.0,11.0,25.0,1.0,1.0,52%,48%,9.0,4.0,6.0,1.0,2.0,1.0,0.0,0.0,11.0,2.0,1.0,0.0,1.0,6.0,2.0,11.0,0.0,0.0,54%,46%,10.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,5.0,9.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-29-Guingamp-Angers,ligue-1,home,Guingamp,Angers,29.10.2016,1,0,2016-2017,53%,47%,13.0,15.0,5.0,3.0,4.0,9.0,0.0,0.0,7.0,5.0,1.0,0.0,3.0,4.0,9.0,12.0,1.0,3.0,51%,49%,3.0,9.0,0.0,1.0,2.0,7.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,55%,45%,10.0,6.0,5.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,4.0,6.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-29-Lorient-Montpellier,ligue-1,home,Lorient,Montpellier,29.10.2016,2,2,2016-2017,57%,43%,17.0,8.0,3.0,4.0,8.0,4.0,0.0,0.0,5.0,5.0,4.0,2.0,2.0,1.0,13.0,9.0,2.0,1.0,57%,43%,5.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,3.0,4.0,0.0,1.0,57%,43%,12.0,4.0,1.0,2.0,7.0,2.0,0.0,0.0,4.0,5.0,0.0,1.0,1.0,1.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-29-Nancy-Caen,ligue-1,home,Nancy,Caen,29.10.2016,2,0,2016-2017,42%,58%,11.0,15.0,3.0,5.0,7.0,8.0,0.0,0.0,4.0,3.0,2.0,1.0,5.0,1.0,16.0,10.0,3.0,3.0,44%,56%,7.0,4.0,3.0,2.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,40%,60%,4.0,11.0,0.0,3.0,3.0,7.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,12.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-29-St Etienne-Monaco,ligue-1,home,St Etienne,Monaco,29.10.2016,1,1,2016-2017,43%,57%,8.0,13.0,2.0,6.0,3.0,4.0,0.0,0.0,4.0,9.0,2.0,4.0,5.0,1.0,11.0,15.0,0.0,4.0,47%,53%,3.0,7.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,7.0,0.0,0.0,39%,61%,5.0,6.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,5.0,1.0,1.0,3.0,0.0,7.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-29-Toulouse-Lyon,ligue-1,home,Toulouse,Lyon,29.10.2016,1,2,2016-2017,60%,40%,12.0,7.0,1.0,3.0,8.0,2.0,0.0,0.0,3.0,2.0,0.0,4.0,1.0,0.0,16.0,16.0,2.0,4.0,50%,50%,7.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,12.0,8.0,2.0,1.0,70%,30%,5.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-30-Marseille-Bordeaux,ligue-1,home,Marseille,Bordeaux,30.10.2016,0,0,2016-2017,60%,40%,10.0,5.0,3.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,3.0,13.0,8.0,1.0,1.0,62%,38%,4.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,0.0,1.0,58%,42%,6.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-30-Nice-Nantes,ligue-1,home,Nice,Nantes,30.10.2016,4,1,2016-2017,63%,37%,12.0,16.0,7.0,4.0,3.0,9.0,0.0,0.0,2.0,4.0,2.0,5.0,3.0,3.0,12.0,18.0,1.0,3.0,64%,36%,9.0,9.0,5.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,5.0,9.0,0.0,2.0,62%,38%,3.0,7.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,0.0,7.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-10-30-Rennes-Metz,ligue-1,home,Rennes,Metz,30.10.2016,1,0,2016-2017,53%,47%,10.0,9.0,4.0,2.0,4.0,5.0,0.0,0.0,3.0,4.0,1.0,3.0,2.0,3.0,9.0,17.0,0.0,3.0,59%,41%,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,0.0,2.0,47%,53%,8.0,6.0,3.0,1.0,4.0,4.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-04-Montpellier-Marseille,ligue-1,home,Montpellier,Marseille,04.11.2016,3,1,2016-2017,38%,62%,13.0,10.0,4.0,2.0,6.0,7.0,0.0,0.0,1.0,5.0,1.0,10.0,1.0,1.0,10.0,9.0,1.0,1.0,36%,64%,10.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0,6.0,5.0,0.0,1.0,40%,60%,3.0,7.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-05-Angers-Lille,ligue-1,home,Angers,Lille,05.11.2016,1,0,2016-2017,40%,60%,8.0,6.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,14.0,12.0,0.0,0.0,40%,60%,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,40%,60%,2.0,4.0,2.0,1.0,-2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-05-Bordeaux-Lorient,ligue-1,home,Bordeaux,Lorient,05.11.2016,2,1,2016-2017,49%,51%,12.0,9.0,6.0,1.0,5.0,4.0,0.0,0.0,4.0,7.0,5.0,2.0,1.0,4.0,2.0,10.0,3.0,2.0,54%,46%,8.0,5.0,5.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,44%,56%,4.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-05-Dijon-Guingamp,ligue-1,home,Dijon,Guingamp,05.11.2016,3,3,2016-2017,46%,54%,13.0,14.0,8.0,6.0,2.0,5.0,0.0,0.0,6.0,3.0,4.0,1.0,3.0,5.0,13.0,17.0,0.0,1.0,44%,56%,9.0,3.0,6.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0,10.0,0.0,1.0,48%,52%,4.0,11.0,2.0,5.0,0.0,4.0,0.0,0.0,2.0,3.0,4.0,1.0,3.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-05-Lyon-Bastia,ligue-1,home,Lyon,Bastia,05.11.2016,2,1,2016-2017,64%,36%,23.0,10.0,7.0,4.0,8.0,3.0,0.0,0.0,9.0,3.0,8.0,1.0,3.0,5.0,7.0,14.0,1.0,4.0,63%,37%,14.0,3.0,6.0,2.0,4.0,1.0,0.0,0.0,5.0,1.0,4.0,1.0,2.0,5.0,2.0,7.0,1.0,2.0,65%,35%,9.0,7.0,1.0,2.0,4.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,1.0,0.0,5.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,3.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-05-Monaco-Nancy,ligue-1,home,Monaco,Nancy,05.11.2016,6,0,2016-2017,58%,42%,16.0,9.0,8.0,1.0,6.0,7.0,0.0,0.0,4.0,6.0,3.0,7.0,1.0,2.0,10.0,18.0,0.0,1.0,61%,39%,7.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,7.0,5.0,0.0,0.0,55%,45%,9.0,5.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,3.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-05-Nantes-Toulouse,ligue-1,home,Nantes,Toulouse,05.11.2016,1,1,2016-2017,57%,43%,13.0,4.0,2.0,4.0,7.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,3.0,1.0,17.0,8.0,4.0,2.0,57%,43%,5.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,8.0,5.0,1.0,0.0,57%,43%,8.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,9.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-06-Caen-Nice,ligue-1,home,Caen,Nice,06.11.2016,1,0,2016-2017,37%,63%,12.0,4.0,7.0,1.0,3.0,3.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,6.0,11.0,18.0,2.0,3.0,29%,71%,7.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,9.0,0.0,1.0,45%,55%,5.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,7.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-06-Metz-St Etienne,ligue-1,home,Metz,St Etienne,06.11.2016,0,0,2016-2017,54%,46%,16.0,9.0,2.0,2.0,7.0,6.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,17.0,15.0,2.0,3.0,44%,56%,4.0,6.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,11.0,8.0,2.0,3.0,64%,36%,12.0,3.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-06-Paris SG-Rennes,ligue-1,home,Paris SG,Rennes,06.11.2016,4,0,2016-2017,63%,37%,18.0,4.0,5.0,1.0,7.0,1.0,0.0,0.0,9.0,2.0,6.0,0.0,1.0,2.0,7.0,10.0,1.0,2.0,57%,43%,5.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,70%,30%,13.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-18-Lille-Lyon,ligue-1,home,Lille,Lyon,18.11.2016,0,1,2016-2017,36%,64%,14.0,17.0,3.0,3.0,6.0,5.0,0.0,3.0,5.0,5.0,1.0,2.0,2.0,3.0,15.0,15.0,4.0,3.0,44%,56%,6.0,10.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,7.0,7.0,3.0,1.0,28%,72%,8.0,7.0,1.0,1.0,4.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,8.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,2.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-11-18-Lorient-Monaco,ligue-1,home,Lorient,Monaco,18.11.2016,0,3,2016-2017,49%,51%,15.0,11.0,3.0,6.0,6.0,4.0,0.0,0.0,2.0,4.0,6.0,2.0,3.0,3.0,15.0,12.0,0.0,1.0,50%,50%,7.0,4.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,8.0,4.0,0.0,1.0,48%,52%,8.0,7.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
