,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Paris SG,96,83,102,19,30,6,2
Lyon,65,24,67,43,19,8,11
Monaco,65,7,57,50,17,14,7
Nice,63,17,58,41,18,9,11
Lille,60,12,39,27,15,15,8
St Etienne,58,5,42,37,17,7,14
Caen,54,-13,39,52,16,6,16
Rennes,52,-2,52,54,13,13,12
Bordeaux,50,-7,50,57,12,14,12
Bastia,50,-6,36,42,14,8,16
Angers,50,2,40,38,13,11,14
Montpellier,49,2,49,47,14,7,17
Marseille,48,6,48,42,10,18,10
Nantes,48,-11,33,44,12,12,14
Lorient,46,-11,47,58,11,13,14
Guingamp,44,-9,47,56,11,11,16
Toulouse,40,-10,45,55,9,13,16
Reims,39,-13,44,57,10,9,19
GFC Ajaccio,37,-21,37,58,8,13,17
Troyes,18,-55,28,83,3,9,26
