,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Monaco,95,76,107,31,30,5,3
Paris SG,87,56,83,27,27,6,5
Nice,78,27,63,36,22,12,4
Lyon,67,32,80,48,21,4,13
Marseille,62,16,57,41,17,11,10
Bordeaux,59,10,53,43,15,14,9
Nantes,51,-14,40,54,14,9,15
Rennes,50,-6,36,42,12,14,12
Guingamp,50,-7,46,53,14,8,16
St Etienne,50,-1,41,42,12,14,12
Angers,46,-9,40,49,13,7,18
Lille,46,-7,40,47,13,7,18
Toulouse,44,-4,37,41,10,14,14
Metz,43,-33,39,72,11,10,17
Montpellier,39,-18,48,66,10,9,19
Dijon,37,-12,46,58,8,13,17
Caen,37,-29,36,65,10,7,21
Lorient,36,-26,44,70,10,6,22
Nancy,35,-23,29,52,9,8,21
Bastia,34,-28,29,57,8,10,20
