,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Juventus,90,40,70,30,28,6,4
Napoli,79,38,74,36,24,7,7
Atalanta,69,31,77,46,20,9,9
Inter,69,24,57,33,20,9,9
AC Milan,68,19,55,36,19,11,8
AS Roma,66,18,66,48,18,12,8
Torino,63,15,52,37,16,15,7
Lazio,59,10,56,46,17,8,13
Sampdoria,52,9,60,51,15,7,15
Bologna,44,-8,48,56,11,11,16
Sassuolo,43,-7,53,60,9,16,13
Udinese,43,-14,39,53,11,10,17
Spal,42,-12,44,56,11,9,18
Parma,41,-20,41,61,10,11,17
Fiorentina,41,2,47,45,8,17,13
Cagliari,40,-18,36,54,10,10,17
Empoli,38,-19,51,70,10,8,20
Genoa,38,-18,39,57,8,14,16
Frosinone,25,-40,29,69,5,10,23
Chievo,20,-50,25,75,2,14,22
