,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Juventus,91,50,77,27,29,4,5
AS Roma,87,52,90,38,28,3,7
Napoli,86,55,94,39,26,8,4
Atalanta,72,21,62,41,21,9,8
Lazio,70,23,74,51,21,7,10
AC Milan,63,12,57,45,18,9,11
Inter,62,23,72,49,19,5,14
Fiorentina,60,6,63,57,16,12,10
Torino,53,5,71,66,13,14,11
Sampdoria,48,-6,49,55,12,12,14
Cagliari,47,-21,55,76,14,5,19
Sassuolo,46,-5,58,63,13,7,18
Udinese,45,-9,47,56,12,9,17
Chievo,43,-18,43,61,12,7,19
Bologna,41,-18,40,58,11,8,19
Genoa,36,-26,38,64,9,9,20
Crotone,34,-24,34,58,9,7,22
Empoli,32,-32,29,61,8,8,22
Palermo,26,-44,33,77,6,8,24
Pescara,18,-44,37,81,3,9,26
