,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Liverpool,99,52,85,33,32,3,3
Manchester City,81,67,102,35,26,3,9
Manchester Utd,66,30,66,36,18,12,8
Chelsea,66,15,69,54,20,6,12
Leicester,62,26,67,41,18,8,12
Wolves,59,11,51,40,15,14,9
Tottenham,59,14,61,47,16,11,11
Arsenal,56,8,56,48,14,14,10
Burnley,54,-7,43,50,15,9,14
Sheffield Utd,54,0,39,39,14,12,12
Southampton,52,-9,51,60,15,7,16
Everton,49,-12,44,56,13,10,15
Newcastle,44,-20,38,58,11,11,16
Crystal Palace,43,-19,31,50,11,10,17
Brighton,41,-15,39,54,9,14,15
West Ham,39,-13,49,62,10,9,19
Aston Villa,35,-26,41,67,9,8,21
Watford,34,-28,36,64,8,10,20
Bournemouth,34,-25,40,65,9,7,22
Norwich,21,-49,26,75,5,6,27
