,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Juventus,95,62,86,24,30,5,3
Napoli,91,48,77,29,28,7,3
AS Roma,77,33,61,28,23,8,7
Lazio,72,40,89,49,21,9,8
Inter,72,36,66,30,20,12,6
AC Milan,64,14,56,42,18,10,10
Atalanta,60,18,57,39,16,12,10
Fiorentina,57,8,54,46,16,9,13
Sampdoria,54,-4,56,60,16,6,16
Torino,54,8,54,46,13,15,10
Sassuolo,43,-30,29,59,11,10,17
Genoa,41,-10,33,43,11,8,19
Chievo,40,-23,36,59,10,10,18
Udinese,40,-15,48,63,12,4,22
Cagliari,39,-28,33,61,11,6,21
Bologna,39,-12,40,52,11,6,21
Spal,38,-20,39,59,8,14,16
Crotone,35,-26,40,66,9,8,21
Verona,25,-48,30,78,7,4,27
Benevento,21,-51,33,84,6,3,29
