,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Juventus,91,55,75,20,29,4,5
Napoli,82,48,80,32,25,7,6
AS Roma,80,42,83,41,23,11,4
Inter,67,12,50,38,20,7,11
Fiorentina,64,18,60,42,18,10,10
Sassuolo,61,9,49,40,16,13,9
AC Milan,57,6,49,43,15,12,11
Lazio,54,0,52,52,15,9,14
Chievo,50,-2,43,45,13,11,14
Empoli,46,-9,40,49,12,10,16
Genoa,46,-3,45,48,13,7,18
Atalanta,45,-6,41,47,11,12,15
Torino,45,-3,52,55,12,9,17
Bologna,42,-12,33,45,11,9,18
Sampdoria,40,-13,48,61,10,10,18
Palermo,39,-27,38,65,10,9,19
Udinese,39,-25,35,60,10,9,19
Carpi,38,-20,37,57,9,11,18
Frosinone,31,-41,35,76,8,7,23
Verona,28,-29,34,63,5,13,20
