,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Barcelona,93,70,99,29,28,9,1
Atl. Madrid,79,36,58,22,23,10,5
Real Madrid,76,50,94,44,22,10,6
Valencia,73,27,65,38,22,7,9
Villarreal,61,7,57,50,18,7,13
Betis,60,-1,60,61,18,6,14
Sevilla,58,-9,49,58,17,7,14
Getafe,55,9,42,33,15,10,13
Eibar,51,-6,44,50,14,9,15
Girona,51,-9,50,59,14,9,15
Real Sociedad,49,7,66,59,14,7,17
Celta Vigo,49,-1,59,60,13,10,15
Espanyol,49,-6,36,42,12,13,13
Alaves,47,-10,40,50,15,2,21
Levante,46,-14,44,58,11,13,14
Ath Bilbao,43,-8,41,49,10,13,15
Leganes,43,-17,34,51,12,7,19
Dep. La Coruna,29,-38,38,76,6,11,21
Las Palmas,22,-50,24,74,5,7,26
Malaga,20,-37,24,61,5,5,28
