,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Bayern Munich,78,56,88,32,24,6,4
Dortmund,76,37,81,44,23,7,4
RB Leipzig,66,34,63,29,19,9,6
Bayer Leverkusen,58,17,69,52,18,4,12
Wolfsburg,55,12,62,50,16,7,11
B. Monchengladbach,55,13,55,42,16,7,11
Eintracht Frankfurt,54,12,60,48,15,9,10
Werder Bremen,53,9,58,49,14,11,9
Hoffenheim,51,18,70,52,13,12,9
Dusseldorf,44,-16,49,65,13,5,16
Hertha Berlin,43,-8,49,57,11,10,13
Mainz,43,-11,46,57,12,7,15
Freiburg,36,-15,46,61,8,12,14
Schalke,33,-18,37,55,8,9,17
Augsburg,32,-20,51,71,8,8,18
Stuttgart,28,-38,32,70,7,7,20
Hannover,21,-40,31,71,5,6,23
Nurnberg,19,-42,26,68,3,10,21
