,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Barcelona,91,83,112,29,29,4,5
Real Madrid,90,76,110,34,28,6,4
Atl. Madrid,88,45,63,18,28,4,6
Villarreal,64,9,44,35,18,10,10
Ath Bilbao,62,13,58,45,18,8,12
Celta Vigo,60,-8,51,59,17,9,12
Sevilla,52,1,51,50,14,10,14
Real Sociedad,48,-3,45,48,13,9,16
Malaga,48,3,38,35,12,12,14
Betis,45,-18,34,52,11,12,15
Valencia,44,-2,46,48,11,11,16
Las Palmas,44,-8,45,53,12,8,18
Espanyol,43,-34,40,74,12,7,19
Eibar,43,-12,49,61,11,10,17
Dep. La Coruna,42,-16,45,61,8,18,12
Granada CF,39,-23,46,69,10,9,19
Gijon,39,-22,40,62,10,9,19
Rayo Vallecano,38,-21,52,73,9,11,18
Getafe,36,-30,37,67,9,9,20
Levante,32,-33,37,70,8,8,22
