,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Bayern Munich,84,64,92,28,27,3,4
Schalke,63,16,53,37,18,9,7
Hoffenheim,55,18,66,48,15,10,9
Dortmund,55,17,64,47,15,10,9
Bayer Leverkusen,55,14,58,44,15,10,9
RB Leipzig,53,4,57,53,15,8,11
Stuttgart,51,0,36,36,15,6,13
Eintracht Frankfurt,49,0,45,45,14,7,13
B. Monchengladbach,47,-5,47,52,13,8,13
Hertha Berlin,43,-3,43,46,10,13,11
Werder Bremen,42,-3,37,40,10,12,12
Augsburg,41,-3,43,46,10,11,13
Hannover,39,-10,44,54,10,9,15
Freiburg,36,-24,32,56,8,12,14
Mainz,36,-14,38,52,9,9,16
Wolfsburg,33,-12,36,48,6,15,13
Hamburger SV,31,-24,29,53,8,7,19
FC Koln,22,-35,35,70,5,7,22
