,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Barcelona,87,54,90,36,26,9,3
Atl. Madrid,76,26,55,29,22,10,6
Real Madrid,68,17,63,46,21,5,12
Valencia,61,16,51,35,15,16,7
Getafe,59,13,48,35,15,14,9
Sevilla,59,15,62,47,17,8,13
Espanyol,53,-2,48,50,14,11,13
Ath Bilbao,53,-4,41,45,13,14,11
Alaves,50,-11,39,50,13,11,14
Betis,50,-8,44,52,14,8,16
Real Sociedad,50,-1,45,46,13,11,14
Eibar,47,-4,46,50,11,14,13
Leganes,45,-6,37,43,11,12,15
Villarreal,44,-3,49,52,10,14,14
Levante,44,-7,59,66,11,11,16
Valladolid,41,-19,32,51,10,11,17
Celta Vigo,41,-9,53,62,10,11,17
Girona,37,-16,37,53,9,10,19
Huesca,33,-22,43,65,7,12,19
Rayo Vallecano,32,-29,41,70,8,8,22
